sequence_id	family	role	length_aa	has_dyad	n_dyad_hits
WP_083371746.1_UG3	UG3	challenge	447	YES	1
WP_083601113.1_UG3	UG3	derivation	424	YES	1
WP_084811756.1_UG5	UG5	challenge	592	YES	1
WP_085755544.1_UG5	UG5	derivation	966	YES	1
WP_085850834.1_UG3	UG3	derivation	455	YES	1
WP_086041869.1_UG5	UG5	development	548	YES	1
WP_088492506.1_UG3	UG3	challenge	490	YES	1
WP_089736954.1_UG5	UG5	challenge	709	YES	1
WP_089978274.1_UG5	UG5	derivation	1005	YES	1
WP_090175189.1_UG5	UG5	derivation	968	YES	1
WP_090207633.1_UG3	UG3	development	408	YES	1
WP_090414936.1_UG5	UG5	derivation	1011	YES	1
WP_090543058.1_UG5	UG5	derivation	1013	YES	1
WP_090752572.1_UG3	UG3	challenge	441	YES	1
WP_090882977.1_UG5	UG5	derivation	996	YES	1
WP_091136693.1_UG5	UG5	derivation	988	YES	1
WP_091258980.1_UG3	UG3	derivation	403	YES	1
WP_091980546.1_UG5	UG5	development	974	YES	1
WP_092560583.1_UG5	UG5	challenge	986	YES	1
WP_092895937.1_UG3	UG3	derivation	425	YES	1
WP_093095636.1_UG5	UG5	derivation	978	YES	2
WP_093237741.1_UG3	UG3	derivation	488	YES	2
WP_093253049.1_UG3	UG3	challenge	407	YES	1
WP_093304785.1_UG3	UG3	development	379	YES	1
WP_093465797.1_UG3	UG3	derivation	421	YES	1
WP_096044623.1_UG5	UG5	development	1081	YES	1
WP_096137967.1_UG5	UG5	derivation	1024	YES	1
WP_098950343.1_UG5	UG5	derivation	1004	YES	2
WP_099323523.1_UG5	UG5	challenge	611	YES	1
WP_100021624.1_UG3	UG3	derivation	406	YES	1
WP_100847509.1_UG3	UG3	challenge	417	YES	1
WP_100848181.1_UG3	UG3	derivation	421	YES	1
WP_100894779.1_UG3	UG3	derivation	501	YES	1
Wo.sp.I1|CL1|IIB1|Wolbachia_GII	GII	derivation	515	YES	1
Wo.sp.I6|Bacterial_GII	GII	challenge	414	YES	1
YP_001030367.1_UG5	UG5	derivation	959	YES	2
YP_001107822.1_Retrons	Retrons	derivation	432	YES	1
YP_001184131.1_Retrons	Retrons	challenge	383	YES	1
YP_001213017.1_Retrons	Retrons	derivation	430	YES	1
YP_001251128.1_GII	GII	challenge	454	YES	2
YP_001277327.1_CRISPR	CRISPR	derivation	444	YES	1
YP_001341285.1_Retrons	Retrons	development	310	YES	1
YP_001629663.1_GII	GII	derivation	571	YES	1
YP_001630638.1_GII	GII	derivation	567	YES	1
YP_001672748.1_Retrons	Retrons	challenge	284	YES	1
YP_001678666.1_GII	GII	development	475	YES	1
YP_001725163.1_GII	GII	challenge	440	YES	1
YP_001736173.1_Retrons	Retrons	derivation	339	YES	1
YP_001750449.1_Retrons	Retrons	derivation	374	YES	1
YP_001840884.1_Retrons	Retrons	development	292	YES	1
YP_001864131.1_Retrons	Retrons	derivation	361	YES	1
YP_001886156.1_Retrons	Retrons	derivation	492	YES	1
YP_001893694.1_Retrons	Retrons	derivation	451	YES	1
YP_002152074.1_Retrons	Retrons	challenge	317	YES	1
YP_002153510.1_Retrons	Retrons	derivation	479	YES	1
YP_002218754.1_Retrons	Retrons	derivation	315	YES	1
YP_002384961.1_Retrons	Retrons	development	323	YES	1
YP_002413028.1_Retrons	Retrons	challenge	366	YES	1
YP_002498363.1_Retrons	Retrons	derivation	598	YES	1
YP_002603182.1_Retrons	Retrons	derivation	294	NO	0
YP_002871546.1_Retrons	Retrons	derivation	382	YES	1
YP_002877705.1_Retrons	Retrons	development	323	YES	1
YP_002891920.1_Retrons	Retrons	challenge	343	YES	1
YP_002987976.1_Retrons	Retrons	derivation	316	YES	1
YP_002989002.1_Retrons	Retrons	development	332	YES	1
YP_003193327.1_GII	GII	challenge	415	YES	1
YP_003197499.1_GII	GII	challenge	441	YES	1
YP_003238306.1_GII	GII	development	446	YES	1
YP_003258803.1_Retrons	Retrons	challenge	323	YES	1
YP_003266012.1_Retrons	Retrons	derivation	449	YES	1
YP_003286925.1_Retrons	Retrons	challenge	321	YES	1
YP_003366691.1_GII	GII	derivation	594	YES	1
YP_003750926.1_GII	GII	challenge	412	YES	1
YP_003751272.1_GII	GII	derivation	565	YES	1
YP_003811021.1_GII	GII	derivation	569	YES	1
YP_003813144.1_Retrons	Retrons	derivation	441	YES	1
YP_003846753.1_GII	GII	derivation	556	YES	1
YP_004022293.1_GII	GII	derivation	490	YES	1
YP_004030250.1_GII	GII	development	464	YES	1
YP_004067647.1_Retrons	Retrons	derivation	314	YES	1
YP_004130971.1_GII	GII	development	420	YES	1
YP_004153921.1_Retrons	Retrons	derivation	462	YES	1
YP_004328208.1_Retrons	Retrons	derivation	440	YES	1
YP_004332991.1_Retrons	Retrons	derivation	412	YES	1
YP_004394564.1_Retrons	Retrons	derivation	391	YES	2
YP_004432641.1_GII	GII	derivation	495	YES	1
YP_004467069.1_Retrons	Retrons	development	312	YES	1
YP_004514099.1_Retrons	Retrons	challenge	333	YES	1
YP_004559271.1_GII	GII	derivation	552	YES	1
YP_004746984.1_GII	GII	challenge	420	YES	3
YP_004753235.1_Retrons	Retrons	derivation	392	NO	0
YP_004866389.1_Retrons	Retrons	development	602	YES	1
YP_005044853.1_Retrons	Retrons	challenge	392	YES	1
YP_005045496.1_GII	GII	challenge	414	YES	1
YP_005285142.1_Retrons	Retrons	derivation	429	YES	1
YP_006717053.1_GII	GII	development	529	YES	1
YP_007194308_GII	GII	challenge	419	YES	1
YP_007336327.1_GII	GII	derivation	506	YES	1
YP_107211.1_UG3	UG3	derivation	444	YES	1
YP_125450.1_UG5	UG5	development	1039	YES	1
YP_204427.1_Retrons	Retrons	challenge	395	NO	0
YP_211737.1_Retrons	Retrons	challenge	282	YES	1
YP_217686.1_Retrons	Retrons	derivation	319	YES	1
YP_323757.1_Retrons	Retrons	development	364	YES	1
YP_397646.1_Retrons	Retrons	challenge	482	YES	1
YP_583625.1_Retrons	Retrons	challenge	323	YES	1
YP_628423.1_Retrons	Retrons	derivation	485	YES	1
YP_633868.1_Retrons	Retrons	derivation	348	YES	1
YP_721852.1_Retrons	Retrons	derivation	482	YES	1
YP_736403.1_UG5	UG5	challenge	1067	YES	1
YP_911931.1_GII	GII	challenge	418	YES	1
YP_912490.1_CRISPR	CRISPR	development	731	YES	1
ZP_00588202.1_CRISPR	CRISPR	development	727	YES	1
ZP_00738538.1_GII	GII	challenge	420	YES	1
ZP_00766283.1_CRISPR	CRISPR	derivation	434	YES	1
ZP_01463804.1_Retrons	Retrons	derivation	480	YES	1
ZP_01533407.1_CRISPR	CRISPR	derivation	447	YES	1
ZP_01628848.1_DGRs	DGRs	development	352	YES	1
ZP_01630404.1_DGRs	DGRs	development	352	YES	2
ZP_01730532.1_DGRs	DGRs	development	355	YES	1
ZP_01731218.1_DGRs	DGRs	development	352	YES	1
ZP_01889761.1_UG5	UG5	derivation	997	YES	2
ZP_02091461.1_UG5	UG5	development	1051	YES	1
ZP_02130561.1_UG5	UG5	challenge	969	YES	2
ZP_04698293.1_GII	GII	challenge	420	YES	1
ZP_04856034.1_GII	GII	challenge	418	YES	1
ZP_06477373.1_GII	GII	challenge	421	YES	1
ZP_06641622.1_GII	GII	challenge	416	YES	1
c-Acb.ph.I1|Bacterial_GII	GII	development	464	YES	1
