toro_index	toro_header	s1_rt_phylogeny	mestre_terminal	mestre_accession	clade_EVALUATION_ONLY	fident	extract_coverage	exact_substring	mapped	toro_stated_start	toro_stated_end	extract_len	extract_sha256	mestre_protein_sha256
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1690	fig|1121007.3.peg.1574	10	0.244	0.7569	False	False	147	397	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	4db987dd1d9089727ee92bd98c39d3ba59f9d89c9f8b1defcf619182d58cda53
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1301	fig|1144330.3.peg.3879	9	0.272	0.549	False	False	62	312	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	e8ee8de2f29ce06261c9e2a348d4fec1f90f9dfbcb189f54f823dae78781ca7c
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_283	fig|709015.3.peg.734	1	0.277	0.5059	False	False	1	237	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	1824844ebaccb37428b3141e9285967402fb429baa340ad0e2c09a8e449ec565
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1486	fig|663.144.peg.2659	9	0.256	0.8431	False	False	30	266	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	bfee20102618b59c36f4402cea3092f8efdfe8c0f411aad88ea9f292321ed0ac
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1284	fig|1184720.6.peg.2708	9	0.288	0.349	False	False	68	317	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	dc54bd15cbdecc2fbf8d6ced5cf7b2adacb96fdd7df521b715f936edcc4b3062
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1900	fig|402289.3.peg.1558	11	0.265	0.6118	False	False	102	360	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	e90ed60cdda90628e94a56232ff86460532efd6d465492df0c61c9b9bffa8bfd
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_839	fig|631.3.peg.1883	7	0.256	0.4902	False	False	35	277	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	05f00b9eb2a0c0de073daadc4105b2937d03069f0c10673a68de84314a287cad
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_811	fig|76853.4.peg.2614	5	0.276	0.3686	False	False	19	267	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	c236ee538da14907156846bb6850afb1e8646ba66cdbd9c5c3547f0b2eff44f4
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1493	fig|991.14.peg.629	9	0.256	0.6471	False	False	44	308	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	71c48f291cce56908c0ec40f7bf1f6f87e5e8301638c9e554491770f97ef50b3
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1822	fig|1132441.3.peg.1888	11	0.243	0.8824	False	False	109	391	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	de0fc2bf44941e6ce4d51ede7cf324b0aa4d54a44440d56cef35f8c97a992572
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1143	fig|1978765.3.peg.3488	8	0.244	0.6863	False	False	11	255	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	c6db23d67faea036f4b5ba3579d24772e8cb0acf89180905dffb055bc82fd870
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1332	fig|1736359.3.peg.3976	9	0.233	0.6353	False	False	43	305	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	1be1c1d46a10dcc2f9ea5d9d10c8160010c4a907255d250c92cf26c97e2e5feb
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1285	fig|1566263.3.peg.185	9	0.29	0.3373	False	False	69	317	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	7110af9d630408ab81a182ceb3bcccf5306e234aa48cdda1111ce9cb90c551ed
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_354	fig|626887.3.peg.2431	1	0.287	0.5176	False	False	186	428	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	3369758ce7e867f210c7b651c17177b98bd0834d2a6aff5469e74ef3fa5c3d04
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_397	fig|1500289.3.peg.4469	2	0.234	0.5647	False	False	31	280	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	741876ff87c5be02017dc6f8416d8ac020821a60d604906bf097617299ac8188
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1302	fig|86265.3.peg.2799	9	0.259	0.5216	False	False	64	313	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	61d3c3655673b5de24931da9965f0eb58e284291fed3b27c784633190dda26d3
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1242	fig|1079060.3.peg.1479	8	0.234	0.6431	False	False	9	250	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	d77b3e70fa2465a106112335be4483da1bad09dbe9d29f2235b86f5ebb04f22b
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1292	fig|1931276.3.peg.1294	9	0.264	0.3412	False	False	75	322	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	61268df2f40bee68b25030b09d47efb9a2a869701704933297eba123af450a53
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1317	fig|1841652.4.peg.3782	9	0.292	0.3373	False	False	83	330	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	81227ac5fb2ef81469fb22ce46c6efdbf8f41832fb6b68d03d68c1732b2d0669
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1315	fig|1082931.4.peg.3584	9	0.22	0.5137	False	False	38	308	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	0bc75a73905e5193d8b1b840805da2f2f1b27d5a97fb5e291b57fd8b1c7a59b3
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1553	fig|1444060.3.peg.4830	9	0.239	0.6392	False	False	13	253	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	fdc743f2249ba939d56616e1f4330037d63bff2dfdd33128d4f32752e8747f83
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1370	fig|1125979.3.peg.1941	9	0.264	0.3412	False	False	98	346	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	4fb3e0d642acfb3da9f95c12a7b78d5a69b1046e1311270320e6502f9bacaf03
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1334	fig|1500305.3.peg.4736	9	0.282	0.3647	False	False	84	338	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	53e2474964c82650fa44be179b541f43128cfc601df427211e81e0f6eb7fa4a7
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1312	fig|1745182.3.peg.1942	9	0.302	0.2941	False	False	12	253	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	7fba58b30a4d1c76b1809bfac3f1b5a195cf57b12616de9d6652a231d062a968
105	Bfid|58553039|locus|VBICupNec201015_1883|_extraction	Group II Intron	terminal_1218	fig|487909.15.peg.4212	8	0.276	0.3647	False	False	10	258	255	f5f7018e1149a113038a829abee85ecdf5d74bdbcfa4e7cde14e337c5505f7fc	8a9d8cb01f52b6146fc56c2ced480ece000e93935ba78a3a4cbf8600e236dfb5
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1673	fig|634771.3.peg.967	10	0.285	0.8105	False	False	141	397	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	d6ef336842db4da35a59694e77bcdf4abbec7d675a8702127217508d0f5f9f11
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1612	fig|1761781.3.peg.88	10	0.3	0.8065	False	False	1	258	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	d8cd3d59c1c319f9dd19a1af952484e334b8d17a5de83694fa19292188df97ab
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1613	fig|1946346.3.peg.2999	10	0.281	0.8065	False	False	172	438	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	4a2c9384bd0650e291fa2c9d8db6d0e85bc75c01c1b1365b88a489faa0b5f5c0
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1759	fig|765913.3.peg.336	10	0.301	0.8065	False	False	184	439	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	aab3ecb4448481b5df0342f04135d7dabd39f2443ad5f9da0e02f357f5bc9fe5
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1720	fig|1737490.4.peg.4974	10	0.291	0.7782	False	False	143	399	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	c6297ce564983de6935bac95211f33bbb603fe49139046b4a6d3a1fc0d1f5daa
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1766	fig|298794.3.peg.462	10	0.309	0.875	False	False	137	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	3a8cda148bdf1ba51624c753664cb59dc5883d023c033e0d862dc68832c52648
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1704	fig|1121480.5.peg.5468	10	0.28	0.8548	False	False	146	402	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	1179477834befccb88ebe4763acc527b9d589a2e13fc8843b3a77247298c61dd
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1822	fig|1132441.3.peg.1888	11	0.307	0.7984	False	False	127	392	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	de0fc2bf44941e6ce4d51ede7cf324b0aa4d54a44440d56cef35f8c97a992572
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1622	fig|1965545.3.peg.499	10	0.263	0.8105	False	False	165	423	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	66a75a7b758c7a561f6fc11174b9ce6d99d51a8b1072235efa3cce2a98258ee9
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1749	fig|1128427.4.peg.2346	10	0.319	0.7702	False	False	142	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	51ac980bfadc34f45044b2d68b28640f2fc0af4af2b8a767b7e456a9096f9ad2
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1769	fig|1429438.4.peg.7505	10	0.286	0.8105	False	False	143	399	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	0d43f36e4f3a62391e8699e28731892a4b5826ebea51a4b94a60fd40c10fe547
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1708	fig|1884311.3.peg.7121	10	0.297	0.7742	False	False	159	415	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	9786ba27dce2fd825d614bf9fce04eaf33d19c89c6f2ca4c5205667b7dd49deb
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1736	fig|2040638.3.peg.3067	10	0.295	0.7782	False	False	142	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	2dae679baab23da1392881b89001a2a150f1722ca8d13be8a55de61d2caae2ed
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1705	fig|2045208.3.peg.1247	10	0.281	0.8548	False	False	147	403	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	8ff001e8b72670dd8d8215fdbff83b304961f26b5366c7bad1646c26f4469c88
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_377	fig|2024823.3.peg.2086	2	0.257	0.7742	False	False	37	271	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	6c1e553475514a14abd6513a1c496ee44f86efc9ccc2437b30dcdbaec6f0681f
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1733	fig|184925.3.peg.2602	10	0.303	0.7782	False	False	142	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	eba48e87d5a2842d57cc711ade9ce1fd3f09f7c76d87be22785fb9648ccc3ce3
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1716	fig|1384589.3.peg.2721	10	0.289	0.8065	False	False	143	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	f980f48728afb7fad33c647cc43fed2b75249ad8028586864423473591b976fa
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1791	fig|1219077.3.peg.1945	10	0.284	0.8347	False	False	103	366	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	8afa08aaa81c1edaa3239d5701c78e59f5ab397c03fba02794ed26067d86539f
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1681	fig|1951546.3.peg.1574	10	0.263	0.8065	False	False	149	403	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	0db3b098b3593bfa8e6e7a31f25e739e66820fba37b36152b04e0df4c10fdc70
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1787	APR75442.1	10	0.301	0.8226	False	False	114	372	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	64f16eacd2366b88f4aa372705fc5ad0c7845fea0628c1b2cc63d6d1dd23b7fa
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1761	fig|1961463.3.peg.5253	10	0.274	0.7702	False	False	146	400	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	3c017a254b8a4781e70477c97f7ebbcb3b49f613be1ed65d943a3a9f6cc0283f
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1033	fig|574096.6.peg.2693	8	0.284	0.625	False	False	6	257	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	adec6a883f2df36eb6bf6b0218f971e4242dd376b5235f46950b76a9173f2f3a
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1707	fig|34073.25.peg.8569	10	0.284	0.7742	False	False	151	407	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	ef50aee5d90f85f085dbedb221c06c82df448e728f97b5700c245f68eb195139
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1614	fig|1492.48.peg.3952	10	0.256	0.8065	False	False	172	438	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	a9c6070d42bd6df51a31d1c518fa8e4ef076f7de525fa219d1eeeb894ae8bcc9
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1227	fig|1230476.3.peg.595	8	0.288	0.8105	False	False	1	252	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	388c66856694e910846540df0830fcc78b9e1e39e9eb8b07d30af1546362907b
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1711	fig|1977087.20.peg.1226	10	0.278	0.8226	False	False	140	396	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	7d026318cb89bcce650878c34ace93f8779e43e77237115770119d11d3bab383
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1718	fig|349521.8.peg.3588	10	0.285	0.8065	False	False	143	399	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	1f37feab5e35777f9ef7996c50838099a8b464ab621dcaf9e2331266515375f3
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1294	fig|2052957.3.peg.3497	9	0.272	0.8629	False	False	42	315	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	3c3b25732f5de44d42a2f0b8958661075b9d68cb3b9a92f81263ec007957464f
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1667	fig|1761785.3.peg.3112	10	0.294	0.6169	False	False	140	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	45352700b39376de7972171cd641dfaa93b035888eea10b69cc2733f53ca542e
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1659	fig|2026763.3.peg.3089	10	0.297	0.871	False	False	137	397	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	c7b17275912cf897bd9e729bae1f1013b7b6bdfc7062b60ab9eacdccfdd4d24c
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1690	fig|1121007.3.peg.1574	10	0.263	0.7903	False	False	142	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	4db987dd1d9089727ee92bd98c39d3ba59f9d89c9f8b1defcf619182d58cda53
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1768	fig|1075417.3.peg.445	10	0.299	0.7742	False	False	146	402	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	42c17b724ba10e1431d1c621dea4622de02910f9f7be243dcf233ab3afaf5f0e
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1780	fig|1977087.12.peg.510	10	0.286	0.7782	False	False	117	374	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	c5fd7bd0a81d3fcf1ba55865e7c795f1e5e59605c71b9980470f1c8fc82e98a5
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1683	fig|477680.4.peg.4668	10	0.273	0.8065	False	False	142	397	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	c620a8c3bfeeb11753d7be8cbf4c0a9ac9c6c5a8f5580e3f0d122f9f1f1c9d2b
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1671	fig|1509483.4.peg.1923	10	0.273	0.7903	False	False	1	213	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	13c236297b68a9095d08238e1cdef9958d64456e1bf1c9ba520f34472011a304
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1388	fig|196024.16.peg.2750	9	0.273	0.5121	False	False	7	273	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	59bd96fa7a1bba880e8076958f83c10d408c7ffefac10a362b8b174a76e540d3
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1662	fig|1416778.5.peg.4374	10	0.295	0.6331	False	False	140	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	e71edf06450c37db7214ccbee48e6cccaad167aadcda58e6d1f0e252b405ea6a
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_817	fig|642492.3.peg.2638	6	0.31	0.629	False	False	27	267	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	31426b3d63b1b348b799a99e5b7b6fe1e638047385b7aa2a15f9e581aef5eb3c
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1899	AFR49048.1	11	0.336	0.7984	False	False	156	402	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	7ea60f0338311efdaf94f947f0da5d718f22d111b2af898a2a0a05a6a07504ee
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_354	fig|626887.3.peg.2431	1	0.243	0.7782	False	False	193	429	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	3369758ce7e867f210c7b651c17177b98bd0834d2a6aff5469e74ef3fa5c3d04
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1661	fig|373672.4.peg.4082	10	0.276	0.6331	False	False	140	398	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	f4469234aae0bb3b10c20ab110e991695beb9f45303107dc42b1e05d04e58e3d
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1034	fig|1095774.3.peg.2623	8	0.296	0.5363	False	False	7	264	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	4b7ab613038c503684a2070ae1b557e0a8ceeca5a0684a1316f3ff11d2091398
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1295	fig|1952825.3.peg.2772	9	0.265	0.8427	False	False	42	315	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	4bf77923f03e330ed02e97509e4fe6fc1f8eb0bd747e0177f9c7baa5ea3bc3d2
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1292	fig|1931276.3.peg.1294	9	0.344	0.3669	False	False	75	323	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	61268df2f40bee68b25030b09d47efb9a2a869701704933297eba123af450a53
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1894	fig|1220583.3.peg.1582	11	0.303	0.504	False	False	97	358	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	1ab25fd54547d3ee5b26547582108f0adc17b6290bfdeacb6401f870874b645a
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1790	fig|1856297.3.peg.3627	10	0.271	0.5363	False	False	103	368	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	e44fc1b3e811449b83302b58744766e494603902a8ded4046611751f4f5dc275
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1161	fig|52441.3.peg.3752	8	0.264	0.6169	False	False	18	260	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	fa76a51168de24f25a6840458eacccfa75b898ef4ace8450711e2b01fe019811
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1778	fig|1977087.12.peg.2982	10	0.281	0.7782	False	False	118	383	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	c4bf148673a8cd1d7448936057dfa5cba4fc0148f7ed776d3a20a660fd186a2b
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1334	fig|1500305.3.peg.4736	9	0.388	0.25	False	False	85	334	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	53e2474964c82650fa44be179b541f43128cfc601df427211e81e0f6eb7fa4a7
106	Sg.ce.I1/AM746676.1/9205316..9207294/Sorangium_extraction	Group II Intron	terminal_1368	fig|1758178.5.peg.2546	9	0.512	0.1573	False	False	132	381	248	df4ad9fb844282e30f39af043bd487d8b00793713e5b7bae43fec12306ecc855	5cf1550444c7013f1afe0889222ea303632a4a2795adaf6d9dde98329a6b5490
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_1294	fig|2052957.3.peg.3497	9	0.272	0.9234	False	False	40	315	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	3c3b25732f5de44d42a2f0b8958661075b9d68cb3b9a92f81263ec007957464f
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_1739	fig|568701.4.peg.2073	10	0.292	0.7863	False	False	142	398	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	5d62490ae72de2a5e296d7370a2b05f07679bb8c43a258675ffab0806ab2df3c
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_1613	fig|1946346.3.peg.2999	10	0.266	0.9234	False	False	167	438	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	4a2c9384bd0650e291fa2c9d8db6d0e85bc75c01c1b1365b88a489faa0b5f5c0
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_1157	fig|573.10007.peg.225	8	0.295	0.8226	False	False	65	313	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	9bf742f1cbe780823f49ad1119dd8054bcfbd1674bd0688558994d9383397764
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_1704	fig|1121480.5.peg.5468	10	0.283	0.8871	False	False	141	402	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	1179477834befccb88ebe4763acc527b9d589a2e13fc8843b3a77247298c61dd
107	Mx.xa.I1/CP000113/2433780..2435766/Myxococcus_extraction_1	Group II Intron	terminal_829	fig|1909294.17.peg.3456	7	0.337	0.6613	False	False	41	281	248	a0897dbbb23ff54deb2a4d45227757a1b4dfdf1ab9434c1f39dd9d049e78d0b8	3de515c56ec1885a54f35296480c29aeb809c85d33e2314a9cebb0f5d340e920
