terminal	set	protein_len	tte_status	tte_template	tte_template_identity	tte_start	tte_end	mcc2_status	mcc2_start	mcc2_end	mcc2_core_start	mcc2_core_end	toro_stated_start	toro_stated_end
terminal_230	CLEAN	321	TTE_EXTRACTED	T628	0.438	18	241	EXTRACTABLE	26	240	42.0	231.0		
terminal_231	CLEAN	315	TTE_EXTRACTED	T628	0.441	18	240	EXTRACTABLE	27	238	42.0	230.0		
terminal_232	CLEAN	316	TTE_EXTRACTED	T628	0.452	18	241	EXTRACTABLE	23	239	42.0	231.0		
terminal_233	CLEAN	313	TTE_EXTRACTED	T628	0.474	18	241	EXTRACTABLE	23	238	42.0	231.0		
terminal_234	CLEAN	313	TTE_EXTRACTED	T628	0.44	18	241	EXTRACTABLE	25	239	42.0	231.0		
terminal_235	CLEAN	314	TTE_EXTRACTED	T628	0.436	20	240	EXTRACTABLE	27	239	44.0	230.0		
terminal_236	CLEAN	303	TTE_EXTRACTED	T628	0.444	20	243	EXTRACTABLE	22	240	44.0	233.0		
terminal_237	CLEAN	305	TTE_EXTRACTED	T625	0.451	20	243	EXTRACTABLE	27	241	44.0	233.0		
terminal_238	CLEAN	303	TTE_EXTRACTED	T628	0.443	17	240	EXTRACTABLE	24	238	41.0	230.0		
terminal_239	CLEAN	303	TTE_EXTRACTED	T628	0.406	20	243	EXTRACTABLE	26	235	44.0	233.0		
terminal_240	CLEAN	307	TTE_EXTRACTED	T628	0.446	21	244	EXTRACTABLE	29	242	45.0	234.0		
terminal_241	CLEAN	302	TTE_EXTRACTED	T628	0.449	21	242	EXTRACTABLE	22	240	45.0	232.0		
terminal_242	CLEAN	303	TTE_EXTRACTED	T628	0.442	15	234	EXTRACTABLE	24	234	39.0	224.0		
terminal_243	CLEAN	303	TTE_EXTRACTED	T628	0.416	15	234	EXTRACTABLE	24	232	39.0	224.0		
terminal_244	CLEAN	303	TTE_EXTRACTED	T628	0.439	15	234	EXTRACTABLE	24	232	39.0	224.0		
terminal_245	CLEAN	305	TTE_EXTRACTED	T629	0.377	15	236	EXTRACTABLE	24	235	39.0	226.0		
terminal_246	CLEAN	308	TTE_EXTRACTED	T628	0.394	15	236	EXTRACTABLE	22	235	39.0	226.0		
terminal_247	CLEAN	304	TTE_EXTRACTED	T629	0.362	15	236	EXTRACTABLE	24	235	39.0	226.0		
terminal_248	CLEAN	309	TTE_EXTRACTED	T628	0.387	15	236	EXTRACTABLE	23	235	39.0	226.0		
terminal_249	CLEAN	307	TTE_EXTRACTED	T628	0.425	15	236	EXTRACTABLE	22	235	39.0	226.0		
terminal_250	CLEAN	309	TTE_EXTRACTED	T626	0.422	15	236	EXTRACTABLE	16	235	39.0	226.0		
terminal_251	CLEAN	309	TTE_EXTRACTED	T628	0.414	15	236	EXTRACTABLE	22	236	39.0	226.0		
terminal_252	CLEAN	306	TTE_EXTRACTED	T629	0.39	15	236	EXTRACTABLE	23	235	39.0	226.0		
terminal_253	CLEAN	310	TTE_EXTRACTED	T629	0.345	15	237	EXTRACTABLE	26	235	40.0	227.0		
terminal_254	CLEAN	303	TTE_EXTRACTED	T629	0.366	15	235	EXTRACTABLE	24	235	39.0	225.0		
terminal_255	CLEAN	305	TTE_EXTRACTED	T628	0.41	16	237	EXTRACTABLE	25	234	40.0	227.0		
terminal_256	CLEAN	305	TTE_EXTRACTED	T628	0.395	12	237	EXTRACTABLE	17	235	40.0	227.0		
terminal_257	CLEAN	307	TTE_EXTRACTED	T629	0.407	16	237	EXTRACTABLE	15	234	40.0	227.0		
terminal_258	CLEAN	303	TTE_EXTRACTED	T628	0.403	15	235	EXTRACTABLE	24	234	39.0	225.0		
terminal_259	OTHER_SUBSTITUTE	420	TTE_EXTRACTED	T586	0.293	42	285	EXTRACTABLE	29	298	75.0	275.0		
terminal_260	CLEAN	313	TTE_EXTRACTED	T625	0.405	15	235	EXTRACTABLE	23	233	39.0	225.0		
terminal_261	CLEAN	313	TTE_EXTRACTED	T625	0.383	15	235	EXTRACTABLE	24	235	39.0	225.0		
terminal_262	CLEAN	315	TTE_EXTRACTED	T628	0.364	15	235	EXTRACTABLE	24	234	39.0	225.0		
terminal_263	CLEAN	306	TTE_EXTRACTED	T614	0.417	19	230	EXTRACTABLE	22	230	39.0	220.0		
terminal_264	CLEAN	304	TTE_EXTRACTED	T626	0.4	15	235	EXTRACTABLE	22	234	39.0	225.0		
terminal_265	CLEAN	312	TTE_EXTRACTED	T628	0.426	15	233	EXTRACTABLE	24	231	39.0	223.0		
terminal_266	CLEAN	315	TTE_EXTRACTED	T623	0.458	12	238	EXTRACTABLE	17	227	41.0	227.0		
terminal_267	CLEAN	312	TTE_EXTRACTED	T626	0.426	16	238	EXTRACTABLE	25	230	41.0	228.0		
terminal_268	CLEAN	310	TTE_EXTRACTED	T628	0.452	17	240	EXTRACTABLE	18	238	42.0	231.0		
terminal_269	CLEAN	304	TTE_EXTRACTED	T628	0.44	17	241	EXTRACTABLE	22	230	43.0	230.0		
terminal_270	CLEAN	316	TTE_EXTRACTED	T629	0.456	17	242	EXTRACTABLE	24	237	42.0	232.0		
terminal_271	CLEAN	317	TTE_EXTRACTED	T628	0.466	17	242	EXTRACTABLE	24	234	42.0	232.0		
terminal_272	CLEAN	304	TTE_EXTRACTED	T629	0.442	16	234	EXTRACTABLE	25	233	40.0	224.0		
terminal_273	CLEAN	306	TTE_EXTRACTED	T622	0.471	12	238	EXTRACTABLE	23	235	41.0	228.0		
terminal_274	CLEAN	306	TTE_EXTRACTED	T623	0.453	12	237	EXTRACTABLE	23	236	41.0	227.0		
terminal_275	CLEAN	313	TTE_EXTRACTED	T623	0.411	12	237	EXTRACTABLE	25	237	41.0	227.0		
terminal_276	CLEAN	306	TTE_EXTRACTED	T629	0.495	17	241	EXTRACTABLE	25	238	41.0	231.0		
terminal_277	CLEAN	334	TTE_EXTRACTED	T626	0.454	25	248	EXTRACTABLE	34	245	51.0	238.0		
terminal_278	CLEAN	320	TTE_EXTRACTED	T628	0.407	16	241	EXTRACTABLE	25	231	40.0	231.0		
terminal_279	CLEAN	317	TTE_EXTRACTED	T628	0.38	17	240	C_TRUNCATED						
terminal_280	CLEAN	321	TTE_EXTRACTED	T628	0.42	19	242	EXTRACTABLE	26	234	43.0	232.0		
terminal_281	OTHER_SUBSTITUTE	315	TTE_EXTRACTED	T626	0.452	16	239	EXTRACTABLE	23	231	40.0	229.0		
terminal_282	CLEAN	314	TTE_EXTRACTED	T626	0.437	16	238	EXTRACTABLE	22	226	40.0	226.0		
terminal_283	CLEAN	304	TTE_EXTRACTED	T629	0.384	16	235	EXTRACTABLE	22	232	40.0	225.0		
terminal_284	CLEAN	313	TTE_EXTRACTED	T626	0.412	20	245	EXTRACTABLE	26	235	44.0	235.0		
terminal_285	CLEAN	305	TTE_EXTRACTED	T628	0.409	16	237	EXTRACTABLE	20	233	40.0	227.0		
terminal_286	CLEAN	315	TTE_EXTRACTED	T624	0.363	11	244	EXTRACTABLE	24	243	39.0	233.0		
terminal_287	CLEAN	316	TTE_EXTRACTED	T630	0.344	8	244	EXTRACTABLE	24	236	39.0	233.0		
terminal_288	CLEAN	316	TTE_EXTRACTED	T630	0.368	8	243	EXTRACTABLE	21	241	39.0	232.0		
terminal_289	CLEAN	274	TTE_EXTRACTED	T630	0.353	8	243	EXTRACTABLE	24	241	39.0	232.0		
terminal_290	CLEAN	316	TTE_EXTRACTED	T630	0.362	8	243	EXTRACTABLE	24	241	39.0	232.0		
terminal_291	CLEAN	316	TTE_EXTRACTED	T630	0.378	8	243	EXTRACTABLE	24	235	39.0	232.0		
terminal_292	CLEAN	313	TTE_EXTRACTED	T630	0.401	9	243	EXTRACTABLE	25	242	40.0	232.0		
terminal_293	CLEAN	318	TTE_EXTRACTED	T630	0.373	16	252	EXTRACTABLE	32	250	48.0	241.0		
terminal_294	CLEAN	313	TTE_EXTRACTED	T628	0.319	16	243	EXTRACTABLE	25	237	41.0	232.0		
terminal_295	RNAP_SUBSTITUTE	82	TTE_NO_TEMPLATE					NO_HIT						
terminal_296	CLEAN	321	TTE_EXTRACTED	T629	0.344	15	243	EXTRACTABLE	22	242	39.0	232.0	8	243
terminal_297	CLEAN	320	TTE_EXTRACTED	T614	0.373	21	235	EXTRACTABLE	26	232	41.0	225.0		
terminal_298	CLEAN	274	TTE_EXTRACTED	T613	0.316	1	234	EXTRACTABLE	24	232	39.0	224.0	19	234
terminal_299	CLEAN	312	TTE_EXTRACTED	T614	0.434	20	226	EXTRACTABLE	24	223	40.0	216.0		
terminal_300	CLEAN	317	TTE_EXTRACTED	T652	0.351	18	235	EXTRACTABLE	30	235	38.0	225.0		
terminal_301	CLEAN	317	TTE_EXTRACTED	T651	0.353	16	235	EXTRACTABLE	30	235	38.0	225.0		
terminal_302	CLEAN	317	TTE_EXTRACTED	T651	0.388	16	235	EXTRACTABLE	28	235	38.0	225.0		
terminal_303	CLEAN	317	TTE_EXTRACTED	T651	0.373	16	235	EXTRACTABLE	11	235	38.0	225.0		
terminal_304	CLEAN	317	TTE_EXTRACTED	T651	0.368	15	235	EXTRACTABLE	34	235	38.0	225.0		
terminal_305	CLEAN	340	TTE_EXTRACTED	T651	0.343	38	259	EXTRACTABLE	45	258	62.0	249.0		
terminal_306	CLEAN	330	TTE_EXTRACTED	T653	0.358	29	249	EXTRACTABLE	36	248	52.0	239.0		
terminal_307	CLEAN	317	TTE_EXTRACTED	T653	0.372	15	236	EXTRACTABLE	28	234	39.0	226.0		
terminal_308	CLEAN	318	TTE_EXTRACTED	T652	0.369	18	235	EXTRACTABLE	10	235	38.0	225.0		
terminal_309	CLEAN	317	TTE_EXTRACTED	T651	0.371	16	235	EXTRACTABLE	33	235	38.0	225.0		
terminal_310	CLEAN	323	TTE_EXTRACTED	T652	0.39	18	235	EXTRACTABLE	33	235	38.0	225.0		
terminal_311	CLEAN	323	TTE_EXTRACTED	T653	0.398	18	235	N_TRUNCATED						
terminal_312	CLEAN	317	TTE_EXTRACTED	T652	0.375	18	234	EXTRACTABLE	8	233	38.0	224.0		
terminal_313	CLEAN	315	TTE_EXTRACTED	T651	0.352	18	234	EXTRACTABLE	5	234	38.0	224.0		
terminal_314	CLEAN	322	TTE_EXTRACTED	T651	0.37	22	241	EXTRACTABLE	30	241	44.0	231.0		
terminal_315	CLEAN	318	TTE_EXTRACTED	T652	0.384	18	235	EXTRACTABLE	32	234	38.0	225.0		
terminal_316	CLEAN	318	TTE_EXTRACTED	T652	0.371	18	235	EXTRACTABLE	32	235	38.0	225.0		
terminal_317	CLEAN	318	TTE_EXTRACTED	T653	0.368	18	235	EXTRACTABLE	32	235	38.0	225.0		
terminal_318	CLEAN	318	TTE_EXTRACTED	T653	0.406	18	235	EXTRACTABLE	38	235	38.0	225.0		
terminal_319	CLEAN	323	TTE_EXTRACTED	T651	0.789	18	240	EXTRACTABLE	39	240	40.0	230.0		
terminal_320	CLEAN	323	TTE_EXTRACTED	T651	0.753	18	240	N_TRUNCATED						
terminal_321	CLEAN	323	TTE_EXTRACTED	T652	0.439	18	240	EXTRACTABLE	37	240	40.0	230.0	18	240
terminal_322	CLEAN	335	TTE_EXTRACTED	T651	0.556	31	253	EXTRACTABLE	46	253	53.0	243.0		
terminal_323	CLEAN	317	TTE_EXTRACTED	T651	0.439	15	235	N_TRUNCATED					15	235
terminal_324	CLEAN	315	TTE_EXTRACTED	T652	0.42	18	235	EXTRACTABLE	38	235	38.0	225.0		
terminal_325	CLEAN	315	TTE_EXTRACTED	T653	0.434	18	235	EXTRACTABLE	10	235	38.0	225.0		
terminal_326	CLEAN	316	TTE_EXTRACTED	T652	0.387	17	236	EXTRACTABLE	39	234	39.0	226.0	17	236
terminal_327	CLEAN	342	TTE_EXTRACTED	T652	0.42	43	261	EXTRACTABLE	30	261	64.0	251.0		
terminal_328	CLEAN	381	TTE_EXTRACTED	T653	0.393	71	288	EXTRACTABLE	83	288	91.0	278.0		
terminal_329	CLEAN	333	TTE_EXTRACTED	T651	0.364	22	239	EXTRACTABLE	9	239	42.0	229.0		
terminal_330	CLEAN	333	TTE_EXTRACTED	T653	0.384	22	239	EXTRACTABLE	36	239	42.0	229.0		
terminal_331	CLEAN	333	TTE_EXTRACTED	T652	0.386	22	239	EXTRACTABLE	21	239	42.0	229.0		
terminal_332	CLEAN	328	TTE_EXTRACTED	T653	0.383	18	235	EXTRACTABLE	34	235	38.0	225.0		
terminal_333	CLEAN	328	TTE_EXTRACTED	T653	0.378	30	247	EXTRACTABLE	37	246	50.0	237.0		
terminal_334	CLEAN	348	TTE_EXTRACTED	T653	0.388	36	253	EXTRACTABLE	51	253	56.0	243.0		
terminal_335	CLEAN	329	TTE_EXTRACTED	T653	0.412	15	235	EXTRACTABLE	27	235	38.0	225.0		
terminal_336	CLEAN	315	TTE_EXTRACTED	T653	0.378	20	234	N_TRUNCATED						
terminal_337	CLEAN	322	TTE_EXTRACTED	T653	0.345	27	241	N_TRUNCATED						
terminal_338	CLEAN	335	TTE_EXTRACTED	T652	0.312	32	249	EXTRACTABLE	52	249	58.0	239.0		
terminal_339	CLEAN	338	TTE_EXTRACTED	T652	0.324	37	254	N_TRUNCATED						
terminal_340	CLEAN	318	TTE_EXTRACTED	T651	0.326	16	233	EXTRACTABLE	7	233	38.0	223.0		
terminal_341	CLEAN	318	TTE_EXTRACTED	T651	0.312	18	233	EXTRACTABLE	8	233	38.0	223.0		
terminal_342	CLEAN	318	TTE_EXTRACTED	T651	0.307	18	233	EXTRACTABLE	6	233	38.0	223.0		
terminal_343	CLEAN	318	TTE_EXTRACTED	T652	0.319	18	233	EXTRACTABLE	7	233	38.0	223.0		
terminal_344	CLEAN	318	TTE_EXTRACTED	T652	0.315	18	233	EXTRACTABLE	7	233	38.0	223.0		
terminal_345	CLEAN	318	TTE_EXTRACTED	T652	0.347	18	233	EXTRACTABLE	7	233	38.0	223.0		
terminal_346	CLEAN	499	TTE_EXTRACTED	T616	0.429	187	429	EXTRACTABLE	227	422	242.0	419.0		
terminal_347	CLEAN	502	TTE_EXTRACTED	T616	0.419	190	432	EXTRACTABLE	230	425	245.0	422.0		
terminal_348	CLEAN	498	TTE_EXTRACTED	T616	0.403	185	427	EXTRACTABLE	225	420	240.0	417.0		
terminal_349	CLEAN	495	TTE_EXTRACTED	T616	0.381	186	428	EXTRACTABLE	226	421	241.0	418.0		
terminal_350	CLEAN	484	TTE_EXTRACTED	T616	0.399	169	412	EXTRACTABLE	206	405	225.0	402.0		
terminal_351	CLEAN	483	TTE_EXTRACTED	T616	0.42	168	411	EXTRACTABLE	208	404	224.0	401.0		
terminal_352	CLEAN	483	TTE_EXTRACTED	T616	0.384	169	412	EXTRACTABLE	209	409	225.0	402.0		
terminal_353	CLEAN	479	TTE_EXTRACTED	T616	0.418	168	410	EXTRACTABLE	206	400	223.0	400.0		
terminal_354	CLEAN	502	TTE_EXTRACTED	T616	0.445	185	426	EXTRACTABLE	224	424	239.0	416.0		
terminal_355	CLEAN	499	TTE_EXTRACTED	T616	0.435	183	425	EXTRACTABLE	223	421	238.0	415.0		
terminal_356	OTHER_SUBSTITUTE	117	TTE_NO_TEMPLATE					NO_HIT						
terminal_357	CLEAN	485	TTE_EXTRACTED	T616	0.479	179	421	EXTRACTABLE	218	418	234.0	411.0		
terminal_358	CLEAN	480	TTE_EXTRACTED	T616	0.497	183	425	EXTRACTABLE	217	418	238.0	415.0		
terminal_359	CLEAN	484	TTE_EXTRACTED	T582	0.378	196	415	EXTRACTABLE	212	414	229.0	405.0	174	415
terminal_360	OTHER_SUBSTITUTE	494	TTE_EXTRACTED	T616	0.454	177	420	EXTRACTABLE	217	419	232.0	410.0		
terminal_361	CLEAN	459	TTE_EXTRACTED	T616	0.469	176	418	EXTRACTABLE	215	417	232.0	408.0		
terminal_362	CLEAN	498	TTE_EXTRACTED	T616	0.444	177	419	EXTRACTABLE	215	409	232.0	409.0		
terminal_363	CLEAN	353	TTE_EXTRACTED	T584	0.473	41	266	EXTRACTABLE	66	265	81.0	256.0		
terminal_364	CLEAN	353	TTE_EXTRACTED	T584	0.486	41	266	EXTRACTABLE	63	265	81.0	256.0		
terminal_365	CLEAN	353	TTE_EXTRACTED	T584	0.473	41	266	EXTRACTABLE	63	263	81.0	256.0		
terminal_366	CLEAN	352	TTE_EXTRACTED	T584	0.482	41	266	EXTRACTABLE	62	265	81.0	256.0		
terminal_367	CLEAN	353	TTE_EXTRACTED	T584	0.473	41	266	EXTRACTABLE	66	265	81.0	256.0		
terminal_368	OTHER_SUBSTITUTE	353	TTE_EXTRACTED	T584	0.482	41	266	EXTRACTABLE	66	264	81.0	256.0		
terminal_369	OTHER_SUBSTITUTE	438	TTE_EXTRACTED	T627	0.246	47	273	EXTRACTABLE	26	272	71.0	263.0		
terminal_370	CLEAN	370	TTE_EXTRACTED	T584	0.46	58	283	EXTRACTABLE	83	282	98.0	273.0		
terminal_371	CLEAN	346	TTE_EXTRACTED	T584	0.473	41	266	EXTRACTABLE	62	263	81.0	256.0		
terminal_372	CLEAN	345	TTE_EXTRACTED	T584	0.506	41	266	EXTRACTABLE	64	264	81.0	256.0		
terminal_373	CLEAN	342	TTE_EXTRACTED	T584	0.521	41	266	EXTRACTABLE	63	265	81.0	256.0		
terminal_374	CLEAN	358	TTE_EXTRACTED	T584	0.4	42	281	EXTRACTABLE	67	271	82.0	271.0		
terminal_375	CLEAN	359	TTE_EXTRACTED	T584	0.409	41	280	EXTRACTABLE	69	270	81.0	270.0		
terminal_376	CLEAN	358	TTE_EXTRACTED	T584	0.4	42	281	EXTRACTABLE	70	271	82.0	271.0		
terminal_377	CLEAN	344	TTE_EXTRACTED	T584	0.464	43	268	EXTRACTABLE	65	258	83.0	258.0		
terminal_378	CLEAN	352	TTE_EXTRACTED	T584	0.478	41	266	EXTRACTABLE	62	256	81.0	256.0		
terminal_379	CLEAN	342	TTE_EXTRACTED	T584	0.447	42	267	EXTRACTABLE	64	257	82.0	257.0		
terminal_380	CLEAN	341	TTE_EXTRACTED	T584	0.421	42	267	EXTRACTABLE	64	257	82.0	257.0		
terminal_381	CLEAN	339	TTE_EXTRACTED	T584	0.442	42	267	EXTRACTABLE	64	257	82.0	257.0		
terminal_382	CLEAN	292	TTE_EXTRACTED	T584	0.427	1	216	EXTRACTABLE	15	206	31.0	206.0		
terminal_383	OTHER_SUBSTITUTE	343	TTE_EXTRACTED	T584	0.467	41	266	EXTRACTABLE	64	262	81.0	256.0		
terminal_384	CLEAN	339	TTE_EXTRACTED	T584	0.478	41	266	EXTRACTABLE	63	256	81.0	256.0		
terminal_385	CLEAN	343	TTE_EXTRACTED	T584	0.482	41	266	EXTRACTABLE	62	263	81.0	256.0		
terminal_386	CLEAN	349	TTE_EXTRACTED	T584	0.467	41	269	EXTRACTABLE	61	261	81.0	259.0		
terminal_387	CLEAN	348	TTE_EXTRACTED	T584	0.504	44	269	EXTRACTABLE	69	262	84.0	259.0		
terminal_388	CLEAN	343	TTE_EXTRACTED	T584	0.491	41	266	EXTRACTABLE	63	264	81.0	256.0		
terminal_389	CLEAN	286	TTE_EXTRACTED	T584	0.495	41	266	EXTRACTABLE	66	265	81.0	256.0		
terminal_390	CLEAN	352	TTE_EXTRACTED	T584	0.429	41	266	EXTRACTABLE	65	258	81.0	256.0		
terminal_391	CLEAN	346	TTE_EXTRACTED	T584	0.495	41	266	EXTRACTABLE	63	263	81.0	256.0		
terminal_392	CLEAN	347	TTE_EXTRACTED	T584	0.504	41	266	EXTRACTABLE	66	265	81.0	256.0		
terminal_393	CLEAN	418	TTE_EXTRACTED	T584	0.539	118	343	EXTRACTABLE	143	341	158.0	333.0		
terminal_394	CLEAN	343	TTE_EXTRACTED	T584	0.449	36	262	EXTRACTABLE	58	261	76.0	252.0		
terminal_395	CLEAN	344	TTE_EXTRACTED	T584	0.46	41	266	EXTRACTABLE	64	265	81.0	256.0		
terminal_396	CLEAN	341	TTE_EXTRACTED	T584	0.493	40	265	EXTRACTABLE	62	264	80.0	255.0		
terminal_397	CLEAN	346	TTE_EXTRACTED	T584	0.456	41	269	EXTRACTABLE	66	257	84.0	257.0		
terminal_398	CLEAN	468	TTE_EXTRACTED	T584	0.465	41	268	EXTRACTABLE	62	265	81.0	258.0		
terminal_399	CLEAN	348	TTE_EXTRACTED	T584	0.433	41	271	EXTRACTABLE	63	263	81.0	261.0		
terminal_400	CLEAN	345	TTE_EXTRACTED	T584	0.432	44	270	EXTRACTABLE	66	260	84.0	260.0		
terminal_401	CLEAN	342	TTE_EXTRACTED	T584	0.434	42	268	EXTRACTABLE	67	258	82.0	258.0		
terminal_402	CLEAN	353	TTE_EXTRACTED	T584	0.491	41	267	EXTRACTABLE	63	266	82.0	257.0		
terminal_403	CLEAN	353	TTE_EXTRACTED	T584	0.478	41	267	EXTRACTABLE	64	266	82.0	257.0		
terminal_404	CLEAN	355	TTE_EXTRACTED	T584	0.478	52	278	EXTRACTABLE	77	276	93.0	268.0		
terminal_405	CLEAN	278	TTE_EXTRACTED	T584	0.429	41	266	EXTRACTABLE	55	263	81.0	256.0		
terminal_406	CLEAN	347	TTE_EXTRACTED	T584	0.521	41	266	EXTRACTABLE	54	263	81.0	256.0		
terminal_407	CLEAN	338	TTE_EXTRACTED	T584	0.526	41	266	EXTRACTABLE	60	264	81.0	256.0		
terminal_408	CLEAN	338	TTE_EXTRACTED	T584	0.526	41	266	EXTRACTABLE	66	265	81.0	256.0		
terminal_409	CLEAN	351	TTE_EXTRACTED	T584	0.458	42	270	EXTRACTABLE	70	268	82.0	260.0		
terminal_410	CLEAN	344	TTE_EXTRACTED	T584	0.434	42	270	EXTRACTABLE	59	263	84.0	260.0		
terminal_411	CLEAN	342	TTE_EXTRACTED	T584	0.471	41	266	EXTRACTABLE	61	258	81.0	256.0		
terminal_412	CLEAN	341	TTE_EXTRACTED	T582	0.424	49	268	EXTRACTABLE	62	262	83.0	258.0	41	268
terminal_413	CLEAN	370	TTE_EXTRACTED	T584	0.421	60	287	EXTRACTABLE	78	283	100.0	277.0		
terminal_414	CLEAN	347	TTE_EXTRACTED	T584	0.444	41	270	EXTRACTABLE	65	267	81.0	260.0		
terminal_415	CLEAN	348	TTE_EXTRACTED	T584	0.451	46	271	EXTRACTABLE	71	261	86.0	261.0		
terminal_416	CLEAN	347	TTE_EXTRACTED	T584	0.429	46	271	EXTRACTABLE	68	263	86.0	261.0		
terminal_417	CLEAN	362	TTE_EXTRACTED	T584	0.513	52	277	EXTRACTABLE	77	273	92.0	267.0		
terminal_418	CLEAN	354	TTE_EXTRACTED	T584	0.462	53	278	EXTRACTABLE	79	266	93.0	266.0		
terminal_419	CLEAN	346	TTE_EXTRACTED	T584	0.482	44	269	EXTRACTABLE	69	266	84.0	259.0		
terminal_420	CLEAN	316	TTE_EXTRACTED	T584	0.425	4	235	EXTRACTABLE	31	230	45.0	225.0		
terminal_421	CLEAN	331	TTE_EXTRACTED	T596	0.392	36	258	EXTRACTABLE	30	256	52.0	248.0		
terminal_422	CLEAN	339	TTE_EXTRACTED	T597	0.387	3	258	EXTRACTABLE	26	248	52.0	248.0		
terminal_423	CLEAN	339	TTE_EXTRACTED	T596	0.405	36	258	EXTRACTABLE	30	255	52.0	248.0		
terminal_424	OTHER_SUBSTITUTE	344	TTE_EXTRACTED	T597	0.368	3	258	EXTRACTABLE	23	256	52.0	248.0		
terminal_425	CLEAN	321	TTE_EXTRACTED	T597	0.452	8	240	EXTRACTABLE	34	239	52.0	230.0		
terminal_426	CLEAN	431	TTE_EXTRACTED	T573	0.36	39	357	EXTRACTABLE	104	339	122.0	330.0		
terminal_427	CLEAN	353	TTE_EXTRACTED	T597	0.567	37	267	EXTRACTABLE	64	265	81.0	257.0		
terminal_428	CLEAN	331	TTE_EXTRACTED	T597	0.558	17	247	EXTRACTABLE	43	245	61.0	237.0		
terminal_429	CLEAN	337	TTE_EXTRACTED	T597	0.593	17	247	EXTRACTABLE	43	239	61.0	237.0		
terminal_430	CLEAN	328	TTE_EXTRACTED	T597	0.534	17	248	EXTRACTABLE	51	246	62.0	238.0		
terminal_431	OTHER_SUBSTITUTE	327	TTE_EXTRACTED	T597	0.56	17	248	EXTRACTABLE	47	245	62.0	238.0		
terminal_432	CLEAN	335	TTE_EXTRACTED	T597	0.545	17	247	EXTRACTABLE	44	239	61.0	237.0		
terminal_433	CLEAN	328	TTE_EXTRACTED	T597	0.515	17	247	EXTRACTABLE	46	245	61.0	237.0		
terminal_434	CLEAN	335	TTE_EXTRACTED	T597	0.528	17	247	EXTRACTABLE	45	245	61.0	237.0		
terminal_435	CLEAN	331	TTE_EXTRACTED	T597	0.541	17	247	EXTRACTABLE	45	245	61.0	237.0		
terminal_436	CLEAN	326	TTE_EXTRACTED	T597	0.541	17	246	EXTRACTABLE	44	244	60.0	236.0		
terminal_437	CLEAN	332	TTE_EXTRACTED	T597	0.558	17	246	EXTRACTABLE	44	244	60.0	236.0		
terminal_438	OTHER_SUBSTITUTE	174	TTE_NO_TEMPLATE					N_TRUNCATED						
terminal_439	CLEAN	332	TTE_EXTRACTED	T597	0.558	17	247	EXTRACTABLE	46	246	61.0	237.0		
terminal_440	CLEAN	328	TTE_EXTRACTED	T597	0.545	17	247	EXTRACTABLE	43	235	61.0	235.0		
terminal_441	CLEAN	328	TTE_EXTRACTED	T597	0.541	17	247	EXTRACTABLE	43	240	61.0	237.0		
terminal_442	CLEAN	328	TTE_EXTRACTED	T597	0.549	17	247	EXTRACTABLE	46	246	61.0	237.0		
terminal_443	CLEAN	332	TTE_EXTRACTED	T597	0.51	17	247	EXTRACTABLE	46	245	61.0	237.0		
terminal_444	CLEAN	332	TTE_EXTRACTED	T597	0.506	17	247	EXTRACTABLE	46	243	61.0	237.0		
terminal_445	CLEAN	304	TTE_EXTRACTED	T596	0.5	27	229	EXTRACTABLE	25	224	43.0	219.0		
terminal_446	CLEAN	306	TTE_EXTRACTED	T597	0.478	1	229	EXTRACTABLE	29	227	43.0	219.0		
terminal_447	CLEAN	346	TTE_EXTRACTED	T597	0.497	25	255	EXTRACTABLE	55	245	69.0	245.0		
terminal_448	CLEAN	307	TTE_EXTRACTED	T597	0.481	1	229	EXTRACTABLE	28	226	44.0	219.0		
terminal_449	CLEAN	306	TTE_EXTRACTED	T597	0.497	1	228	EXTRACTABLE	25	226	43.0	218.0		
terminal_450	OTHER_SUBSTITUTE	313	TTE_EXTRACTED	T597	0.478	1	229	EXTRACTABLE	27	226	43.0	219.0		
terminal_451	CLEAN	305	TTE_EXTRACTED	T597	0.459	1	229	EXTRACTABLE	26	226	43.0	219.0		
terminal_452	OTHER_SUBSTITUTE	466	TTE_EXTRACTED	T614	0.274	105	335	EXTRACTABLE	80	349	125.0	325.0		
terminal_453	CLEAN	328	TTE_EXTRACTED	T597	0.452	1	229	EXTRACTABLE	27	227	43.0	219.0		
terminal_454	CLEAN	361	TTE_EXTRACTED	T597	0.541	17	247	EXTRACTABLE	46	245	61.0	237.0		
terminal_455	CLEAN	337	TTE_EXTRACTED	T597	0.546	17	247	EXTRACTABLE	44	245	61.0	237.0		
terminal_456	CLEAN	397	TTE_EXTRACTED	T597	0.558	17	247	EXTRACTABLE	46	244	61.0	237.0		
terminal_457	CLEAN	340	TTE_EXTRACTED	T597	0.523	17	247	EXTRACTABLE	46	245	61.0	237.0		
terminal_458	CLEAN	339	TTE_EXTRACTED	T597	0.51	17	247	EXTRACTABLE	46	237	61.0	237.0		
terminal_459	CLEAN	347	TTE_EXTRACTED	T596	0.512	55	257	EXTRACTABLE	51	256	71.0	247.0	27	257
terminal_460	CLEAN	392	TTE_EXTRACTED	T597	0.727	81	311	EXTRACTABLE	110	310	125.0	301.0		
