claim_id	layer	claim	permitted_scope	evidence_key	value	lookup_kind	source	selector	column	bundle	bundle_landing_commit	source_commit_at_pin
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	rt5_obs	311-347	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT5	ltra_residue_span_supported	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	rt7_obs	356-361	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT7	ltra_residue_span_supported	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	g7_est	4	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_summary.tsv	quantity=terminal_ESTABLISHED	value	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-13	L4	On LtrA the frozen states support observable portions of the reconstructed RT3, RT4, joint RT5+RT6 and RT7 intervals.	LtrA-local interpretation-layer correspondence	g7a_review	PASS_WITH_REQUIRED_REPAIRS, 7/10, 0 blockers	DOC	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-14	L4	RT4's cardinality is frame-dependent: 1:1 in the primary frame, split into 3 in the independent frame (Jaccard 0.410).	E-g7a-3; must be shown wherever RT4 is annotated	g2_b4_f1	170-230	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_frame_correspondence.tsv	frame1_block=4	frame1_ltra_span	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-14	L4	RT4's cardinality is frame-dependent: 1:1 in the primary frame, split into 3 in the independent frame (Jaccard 0.410).	E-g7a-3; must be shown wherever RT4 is annotated	g2_b4_f2	173-197	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_frame_correspondence.tsv	frame1_block=4	frame2_ltra_span	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-14	L4	RT4's cardinality is frame-dependent: 1:1 in the primary frame, split into 3 in the independent frame (Jaccard 0.410).	E-g7a-3; must be shown wherever RT4 is annotated	g2_b4_j	0.410	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_frame_correspondence.tsv	frame1_block=4	jaccard_on_ltra_residues	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-14	L4	RT4's cardinality is frame-dependent: 1:1 in the primary frame, split into 3 in the independent frame (Jaccard 0.410).	E-g7a-3; must be shown wherever RT4 is annotated	rt4_qual	SUPPORTED_1_TO_1 (primary frame) / SPLIT_INTO_3 (independent frame, Jaccard 0.410)	TABLE	docs/errata/g7a_closure_decision_erratum_2026-09-19.tsv	historical_label=RT4	correspondence_qualified	(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-15	L4	RT5 is the only label with a source-stated residue-level catalytic feature measured on LtrA (CAT_STATE 262 -> LtrA 306 (YADD)).	named only as joint RT5+RT6 (E-g7a-2)	cat_state	262	TABLE	results/rt07_g4b_production_mapper/control/CATALYTIC_STATE_FROZEN.tsv	parameter=CAT_STATE	value	rt07_g4b_production_mapper	dd9cdae3f1475d1545808ed8800e2850e5624d1a	dd9cdae3f1475d1545808ed8800e2850e5624d1a
S2-15	L4	RT5 is the only label with a source-stated residue-level catalytic feature measured on LtrA (CAT_STATE 262 -> LtrA 306 (YADD)).	named only as joint RT5+RT6 (E-g7a-2)	cat_ltra	LtrA 306 (YADD)	DOC	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-15	L4	RT5 is the only label with a source-stated residue-level catalytic feature measured on LtrA (CAT_STATE 262 -> LtrA 306 (YADD)).	named only as joint RT5+RT6 (E-g7a-2)	rt5_ref	304-347	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT5	reference_interval_ltra	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-15	L4	RT5 is the only label with a source-stated residue-level catalytic feature measured on LtrA (CAT_STATE 262 -> LtrA 306 (YADD)).	named only as joint RT5+RT6 (E-g7a-2)	x05	Poch regions a–e ↔ Xiong domains 3–7	DOC	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-15	L4	RT5 is the only label with a source-stated residue-level catalytic feature measured on LtrA (CAT_STATE 262 -> LtrA 306 (YADD)).	named only as joint RT5+RT6 (E-g7a-2)	x06	Webster blocks ↔ Xiong domains 2–5	DOC	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-16	L4	RT2 is partial: only LtrA 97-123 of reconstructed 79-123 is observed.	no statement about the unobserved N-terminal part	rt2_obs	97-123	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT2	ltra_residue_span_supported	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-16	L4	RT2 is partial: only LtrA 97-123 of reconstructed 79-123 is observed.	no statement about the unobserved N-terminal part	rt2_ref	79-123	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT2	reference_interval_ltra	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-16	L4	RT2 is partial: only LtrA 97-123 of reconstructed 79-123 is observed.	no statement about the unobserved N-terminal part	rt2_n	17	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT2	n_supporting_states	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-16	L4	RT2 is partial: only LtrA 97-123 of reconstructed 79-123 is observed.	no statement about the unobserved N-terminal part	g7_anchor_span	97-363	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_summary.tsv	quantity=anchor_ltra_residue_span	value	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	rt0_ref	1-85	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT0	reference_interval_ltra	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	rt1_ref	39-61	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_crosswalk_resolved.tsv	historical_label=RT1	reference_interval_ltra	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	g7_anchor_span	97-363	TABLE	results/rt07_g7a_rt0_rt7_bridge/tables/g7a_summary.tsv	quantity=anchor_ltra_residue_span	value	rt07_g7a_rt0_rt7_bridge	34db87fc1a690df3064d10978ac1c70bda7f4b9b	34db87fc1a690df3064d10978ac1c70bda7f4b9b
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	g2_rt0_block	NO	TABLE	results/rt07_g2_reference_reconstruction/tables/g2_resolved_values.tsv	key=rt0_block	raw_value	rt07_g2_reference_reconstruction	7fa61b4251c00ee85b3be681dd18f9f0aa797a34	7fa61b4251c00ee85b3be681dd18f9f0aa797a34
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	g3_rt0_verdict	OBJECT_MISMATCH	TABLE	results/rt07_g3_prior_method_replication/tables/g3_resolved_values.tsv	key=rt0_verdict	raw_value	rt07_g3_prior_method_replication	7a7352059e4c505a53a19d78aaeb55cb0c4141f6	7a7352059e4c505a53a19d78aaeb55cb0c4141f6
S2-17	L4	RT0 and RT1 are unresolved: no stated boundary in held sources and the frozen anchors reach only LtrA 97-363, C-terminal of both reference intervals (1-85, 39-61).	not biological absence; may not be resolved inferentially	malik_missing	Malik, Burke & Eickbush 1999	DOC	docs/decisions/2026-09-19_stage2_closed.md	literal present verbatim		(governing record)	n/a - governing record	93a4e8888dccd34315eb101f5449a9d29e8be4a4
S2-18	L5	Both terminal Stage-2 analyses passed vendor-disjoint independent review with 0 blockers.	repairs applied as additive errata; frozen outputs unchanged	g6_review	PASS_WITH_REQUIRED_REPAIRS, 6/10, 0 blockers	DOC	docs/decisions/2026-09-19_stage2_g6_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-18	L5	Both terminal Stage-2 analyses passed vendor-disjoint independent review with 0 blockers.	repairs applied as additive errata; frozen outputs unchanged	g7a_review	PASS_WITH_REQUIRED_REPAIRS, 7/10, 0 blockers	DOC	docs/decisions/2026-09-19_stage2_g7a_review_errata.md	literal present verbatim		(governing record)	n/a - governing record	3a19e2ed2fb1807d6b4165e408fca8237a540ed6
S2-18	L5	Both terminal Stage-2 analyses passed vendor-disjoint independent review with 0 blockers.	repairs applied as additive errata; frozen outputs unchanged	g6_thread	01a0b99f-4837-7ce1-9ddd-9d0138441c55	DOC	docs/decisions/2026-09-19_stage2_g6_g7a_independent_reviews.md	literal present verbatim		(governing record)	n/a - governing record	af7c405d2a5900c9861705d769620a57056dfcab
S2-18	L5	Both terminal Stage-2 analyses passed vendor-disjoint independent review with 0 blockers.	repairs applied as additive errata; frozen outputs unchanged	g7a_thread	01a0b9a1-1d76-7193-9d7b-89cb6a41e875	DOC	docs/decisions/2026-09-19_stage2_g6_g7a_independent_reviews.md	literal present verbatim		(governing record)	n/a - governing record	af7c405d2a5900c9861705d769620a57056dfcab
S2-19	L5	Stage 2 is closed as workflow closure, not complete historical recovery.	human_input_audit PENDING before thesis use of any number	closure_line	Closure is workflow closure, not complete recovery.	DOC	docs/decisions/2026-09-19_stage2_closed.md	literal present verbatim		(governing record)	n/a - governing record	93a4e8888dccd34315eb101f5449a9d29e8be4a4
S2-19	L5	Stage 2 is closed as workflow closure, not complete historical recovery.	human_input_audit PENDING before thesis use of any number	hia_pending	PENDING	DOC	docs/decisions/2026-09-19_stage2_closed.md	literal present verbatim		(governing record)	n/a - governing record	93a4e8888dccd34315eb101f5449a9d29e8be4a4
