component_id	component_key	n_pairs	fold	T1	T2	T3	T4
CMP00224	N3f6099f9a624724ec3b3172bfc403f60b51e3b2e7a2c661f61998e4a2dc82cec	5	train	5	5	5	2
CMP00225	N40bf4748b21b8660aa7b48947f34e899b07b4943246a2d51bb5277ead846b6d7	5	val	5	5	5	3
CMP00226	N466ded658bc39dde6e2ec995dae81840acc11ec86730d6a35b3ac2f74b933860	5	test	5	0	0	0
CMP00227	N4675d0fd434aec1d323bcd993900028a719986f0dbca80e1266793a570ba7646	5	train	5	5	2	1
CMP00228	N4b4154217c66847ce6e209d2218fe3bf55d4eb2b78140d38e28d0acaae99c812	5	val	5	5	0	0
CMP00229	N5c4ef4598504299a9ddda6ac5f4e2e07bbe0a960301522b1467cb4ae1499ac66	5	test	5	0	0	0
CMP00230	N5d97c44245bed8a1386522aa994f96389a5c6230b87240f6fd91be520cbba19e	5	train	5	4	4	0
CMP00231	N6783a373c180d6c2ca0dd64952af7981d60f8c08aa3bf9df7ec68cf3ca6bf453	5	val	5	0	0	0
CMP00232	N6bad50ed28b166baa2f46a46c0630baffb6be7dfd4b5c69b5f3faf6c82e0b3d9	5	test	0	0	0	0
CMP00233	N773480ba6e46b33be5497c2300781d3ef996374f91251649cc0a0bc4fddb3dd8	5	train	5	5	5	2
CMP00234	N775c23dd5ce9cb7bc676055949092a2dbdb67201799e3e7059be660fb5870c7a	5	val	5	5	5	3
CMP00235	N7d6b8176e8988d4f7f089eec417be3f85e8f5310060fdecf6210519900162109	5	test	5	5	5	1
CMP00236	N7d6e014b02172691697c6f2d7e256b0db5353f9af15b3333d49eeef573597514	5	train	5	5	5	0
CMP00237	N99dfe18501ec5c2595d6d6ecb92839b49e156a729c07736317e8852c89e5353d	5	val	5	5	5	0
CMP00238	N9de2242e15e21b013aa25ef5d75906797450c3aff642c23216973da78de8f615	5	test	5	5	5	0
CMP00239	Naf383afa1860fa9bc6446e412aa2cd1f4db173d13304e9240705fe56a929e612	5	train	5	5	0	0
CMP00240	Nb9bc352a216ba5cd3c072c524243c2b1c4474ca2e12e1350d99d23ef6e580ca4	5	val	5	5	0	0
CMP00241	Nbbf1a94b2889018cbb9115d3a4ca1bed3e66b45a1d7e82d290b7265c46309d9a	5	test	5	5	5	1
CMP00242	Nbc4955d069a01c2e8d3391cb0434a5dd4040ce0a6620768e25cd104fd73f74de	5	train	5	0	0	0
CMP00243	Nda362ebecee8db0c7d80f9f2ed2a77828426f5dee5a113b2be0df370ef95a21f	5	val	0	0	0	0
CMP00244	Ndfe42421986e941f846050c18c8d49be458b6e59529ff3cef0e468c7bdd6f145	5	test	5	5	0	0
CMP00245	Ne75022f0a75ec8b2cf3b683f04dec11fbe573d4a1b44167a4270767f1d2a2fc2	5	train	5	0	0	0
CMP00246	Nfcd7b7260adfe74952c56e3455d348efd000bd664a53349e3ebbc063c7f920c1	5	val	5	5	4	0
CMP00247	N049c1cc0205dcfe02f4d317344ad2b421a4678ec9bf08f44d9ad3970ec6e5235	4	test	4	4	4	1
CMP00248	N04dd30f64d9db6eac6a5005e57b09c3bad9a51653c31623c0f5cb8916083fc75	4	train	4	4	3	1
CMP00249	N07ad57391faa4c61f1c306fb56091d1570d797c2a751441e8de47a8b314ea23c	4	val	4	4	4	0
CMP00250	N0a85e42974ef8bfb845466042ee7e0d4cc1e780d9c1db31839d71675173fe409	4	test	4	0	0	0
CMP00251	N0cef63f29d2c1775cca8eb7025c511956f123c90fb6ceccaf2d68cd24e5539c5	4	train	3	3	3	0
CMP00252	N0ef94120a864df28bbd54076168325e388358611b3beb4af5efe1673659905c1	4	val	4	4	0	0
CMP00253	N1030d89eccc83a59f93a592c2589a0c312b2e07891a7e60de5f06a5c2b5f1d8e	4	test	4	3	0	0
CMP00254	N16b2b0a3e005c62f06b783a7be2e701f3fc87f17802288f82e2423e9e35f7aef	4	train	4	4	2	1
CMP00255	N1ff7d9fc3fe379917e6967d1e430299e7d69d8f341c4a8c2ec0468d3705a4504	4	val	4	3	0	0
CMP00256	N222d2343963d1c7fe933468478b04ad411c4cb307a50d3e8d990218abacd4147	4	test	4	4	4	0
CMP00257	N27fa1c6f84a225905287069687a8a162da998e4d391a12a3251c77faeda42cfc	4	train	4	0	0	0
CMP00258	N2bdcf1135e28ecbc088604fed31abe55e9c3b1179c5f6c58128937e50b9044ae	4	val	4	4	1	0
CMP00259	N35aa0b532524bf085f65f75460cb20238cb3bd33e233128f98b14a06f509fd44	4	test	4	3	0	0
CMP00260	N37da507d9487453453cbea2a368becfa1251cae4592c23d6413321514a183f40	4	train	4	4	4	2
CMP00261	N4312a50ca6548a8a374e7c558b4ecc97559d01718558b44d6a23bf85e43c4d9b	4	val	4	4	4	0
CMP00262	N4ae29f26e12bb2ea5b2002a1476ee7417691849649934c08935170f93b2fe0fd	4	test	4	3	3	2
CMP00263	N4c6be391c98b55dcb413047d6e306f46c42ec62db0b0eed830ef03745bf225c6	4	train	4	4	2	1
CMP00264	N513b63d812261f23cb0de18661397a2a999b61f4eef3331b96793c2db147778d	4	val	4	4	4	1
CMP00265	N56a20e73ab99dcf76f7ef998ec281f54cee500b758b6b44a68de9847d61e1a44	4	test	4	4	4	1
CMP00266	N5a3675d259eefd0fc6c43b11a71629a057172db83b6c695e199e0f52b7e5a100	4	train	4	4	4	1
CMP00267	N5f2a18ec04c8e35b9f203fd5e18d50b10d8f470f8a3508dbca322fcb569cf46d	4	val	4	0	0	0
CMP00268	N62cf05a2d55f171ed9ffe641efe0b7749939673970fd9b93105ccffb00aceeb8	4	test	4	4	4	4
CMP00269	N83b4fee23c156292b7cee660097eb08dc826d8501e49073643042c9b76eb6e8c	4	train	4	4	2	1
CMP00270	N8996ecad0caab00bd508b9e9fe49dc71767bd7ed38088e29ae64151d55e81d6a	4	val	4	4	0	0
CMP00271	N8bf1d3f0839b83b2293abc8ea414785569a0f1bba3a3bba463637a9e890d9e1e	4	test	4	4	0	0
CMP00272	N8c5539fd6553f408e3ee95a40cec52bf10f1f8a2e7ca21b00ab8d481bfdd61c2	4	train	4	4	4	2
CMP00273	N91b6479c224be1d0034d6e5f532d41f98002c89ecf6c1c2af220e3df42cd3dbc	4	val	4	4	2	0
CMP00274	N94792ec7890eae43951316085c36be8a5af19885940790c5c02d8a72a212f534	4	test	4	3	3	1
CMP00275	N97b1916dd43ceb68ce71e137e75138bcf7abf466779ada98d553a4cdc4e18969	4	train	4	4	1	0
CMP00276	N9c4805fddcc974ee20e9c6fda2a16f2a153f0d29ae4e81a5eb7e46a2dd2f9c7c	4	val	4	4	4	1
CMP00277	Na263643aa8607ee7207e7423491c2f874dc9b200f907f5667a4c53498e1a4d59	4	test	4	4	2	1
CMP00278	Nafa25e317465fa098a790b37a5f0acc4c19bc636e9b4d8e63fae734898d26c81	4	train	4	4	0	0
CMP00279	Nb9b782e40483151d64042e6db9260585edc87087a74e04b8b7d7f29f9979d4bd	4	val	4	4	3	1
CMP00280	Nbdeaac03219acbd1ef373cac6db549ee7338ecd6663dfdfcb16a01a58f4f4f47	4	test	4	4	0	0
CMP00281	Nbe5ee612bf821c173b38b5b8ac913ae286aa4a2f50071d1f0cb40f6cd4252cdf	4	train	4	4	4	0
CMP00282	Nc990270bb061f0934aa24fc2d9c74b82270af68b18a10fde32d14b1883f8d40b	4	val	4	4	4	2
CMP00283	Ndf994573c298f2debbe5553ea56f7580322c7803cb9cb6d2d402df84ea88ea18	4	test	4	4	4	0
CMP00284	Ne2b8e6756adf92705978433475da79204dd9ca8b6292c39fa24bc9114b81116e	4	train	4	0	0	0
CMP00285	Nf4671712bea981a54d1acff0f4da3d5f61cbc603d2f74fcf38739289f55533e0	4	val	4	4	3	1
CMP00286	Nfd6818d8a93ca0a39e4b1d6005597d60bee82fd13e5466f5cffa72a50568f22c	4	test	4	4	2	0
CMP00287	Nfef8d7982fc40f5b499bd95635cfa205b7c10452d0ca8e171d63ef9cf4ec5b52	4	train	4	0	0	0
CMP00288	N019452ab5f76e089c547f2de2b4625f84565b0588e8be6211d57b870a62d945b	3	val	3	3	3	0
CMP00289	N02661f075335e5df78848a6c32294d2bca6ebe18707254fed9c178059d56740a	3	val	3	3	3	1
CMP00290	N09deab29921d1c94a675ffb41294498114de96dc752f5cce56203d8e826bb6e8	3	test	3	0	0	0
CMP00291	N0bbf77980b994787a35c07402fddc7d4b59eea32d0223a4f4f6b7e746f29426f	3	train	3	3	3	0
CMP00292	N0fca9d778842ed37417a355078ca7e621e7f9a920b3cb7dff54736d3a367d514	3	val	3	3	3	0
CMP00293	N170f513d4d30677f232a163d9573651de3e4085f62bfc50681e0ef530030d8ad	3	test	3	3	2	0
CMP00294	N173c913f519d560ede3305e153738512ab69c65143b626e8292fe677e7911223	3	train	3	0	0	0
CMP00295	N1b6043f7f756f7f74be704d023b82eac5e75697f02f496c465dbf4444b0ceb6f	3	val	3	3	3	2
CMP00296	N1bea453b188a87803b3e48b090a9e9d46a8b737f91698cbdd3600e517d30f7a9	3	test	3	3	0	0
CMP00297	N27c9eb8f107f167627ee7040e06472d529047d72f5cbc8908c197bb736f96c6d	3	train	3	0	0	0
CMP00298	N296b7dfa2d74e49d3d5a5677b2cb0a250f2c4bbd2a20a4a10e5f8c89a68c4bc4	3	val	1	0	0	0
CMP00299	N2a154c0c8ef92a1473490abdbcf4eef9abb6d166269fbe1c1586ce6181fc6ce6	3	test	3	3	3	1
CMP00300	N2add11276c3a393335b79341748b985d430c0ae70e11b7fd67795c5dd4cf9598	3	train	3	3	2	1
CMP00301	N2d4488c7a767f49aece4536483d987f43045926dfd6f7aa8e66cdc015232af5c	3	val	3	3	0	0
CMP00302	N2e0a85124280ae7bf3a00bd0b4e5d4e149611fdbb5a714fd23cce6b79e325695	3	test	3	2	1	0
CMP00303	N33a58eb8af4f4a660f20e21173609a64bf3f594ffdf043fdea4be925348926fd	3	train	3	3	3	1
CMP00304	N3710e3c7e7e1ada32d3346ca3ed388126574ae7e11397114ff73c8ccecdb5222	3	val	3	3	3	0
CMP00305	N381824471489e93a96197ba7e4c4bec4eb1890ea3a934fa85a8917f5ce13c79f	3	test	3	3	3	0
CMP00306	N3a374951a1c43a13bebb62cd2aa73da19fc8226016b646b713f66cb57c35b5f8	3	train	3	0	0	0
CMP00307	N3ae691359dd0badfc52a2549d0f28494dbc09699bb8546766cc52f9948fca674	3	val	3	3	3	1
CMP00308	N3b10df435ffad2a63ea5587149daca14d72c6a0d1e9f0703a15eb09cd8d01459	3	test	3	3	3	0
CMP00309	N3cb76cbe44b4104186a5bd4e49e8e71d40e7e9019a40a06b04dc5449b185614f	3	train	3	0	0	0
CMP00310	N3f2f5ddded74fc6e6e55bf371f17b79fa26838e66ca40be76ec7ad065414f89c	3	val	3	3	0	0
CMP00311	N45749433262b57841fd134909328302f91ee68e748a3b2c4bd457678a0b37079	3	test	3	3	2	0
CMP00312	N4a6d659309d7924f1502cddbf3c01a46d7593b49d80f2768c5f9bbe51643e72e	3	train	3	3	0	0
CMP00313	N4bc6459935f0d8c73d9e5664850c0a9e432275db12aae6b16fd04324fca2db4d	3	val	3	2	2	0
CMP00314	N4fbad43bcbeab0bf6fcfd902dceb88355230270e6d67f3ac451ab81aafc6fdb9	3	test	3	3	3	0
CMP00315	N544ae5e866e18aa6b777ce9f14f4c9ac9ed87ec82750955dc0d3e1938aabe365	3	train	3	3	3	2
CMP00316	N5a18fc3dc383d87237db9e4722bb1700996ca7b452a432990ce60d083116169b	3	val	3	3	3	0
CMP00317	N5a9dd18c96000256818baadc461ec6e9609e89bc724ab04c5bf76cdba1ed7a81	3	test	3	3	3	0
CMP00318	N5f1b138218034fb45b9144a64e42ed936a028245aee188fdbdaf849ec9a87601	3	train	0	0	0	0
CMP00319	N5f70d90eff17308b2398f572634e56fe64c57175e61fc238dcd68bd29f8ffc41	3	val	3	3	3	1
CMP00320	N619aa95c1f824ab2c957d67c9c2fe31036efccca512c890b67717b79177bfd35	3	test	3	3	3	3
CMP00321	N6324ea1b131afb2738aa02847d5f4fd69816bb9f352d87f63dabb6200bb4f54b	3	train	3	3	1	0
CMP00322	N6645ec76a872413d787070412b53b201f86c8abf72c28f20e3bc048b753c4b07	3	val	3	2	2	1
CMP00323	N72f294a36ac4c6a7e574ff8abce8d011226e82c9d1a1934fad41ffe7b72e871b	3	test	3	3	2	0
CMP00324	N7edcb3f1684fe61a5da7624b2cffc87c2ad1f97a6e77cd6a8bb8267a8303d14d	3	train	3	3	2	0
CMP00325	N807cd4093176c896508a31443e7ba6125749f67f6022e09d38cd842c67d34bf3	3	val	3	3	3	1
CMP00326	N81452de1c5601898b812f01376c4e2358cfe80eebef99eb3c4421464f15a6e27	3	test	3	3	1	0
CMP00327	N84d2d9e6c409046e7c05ee97af459171cb5e69bbbe4f426c3ce09a5649451406	3	train	3	3	3	1
CMP00328	N89e9f209b28e3bdea74b7d667f682baf92ad3652fc6fda35f1b1903ff40c2c59	3	val	3	3	3	2
CMP00329	N8a3281902772adabe281fe46396f9ddb9780a73166cfb30429dd81a97ebabba5	3	test	3	3	3	0
CMP00330	N8dc9f8e1f0b94d27202e7b7eaccba123feff0f15777acfaf1974a2009678fabf	3	train	3	3	3	1
CMP00331	N8fc41fd8bfee4c4af2dc557cb44c33092bf23468bd8049d990d4e942f608e7d7	3	val	3	3	3	0
CMP00332	N902cc520ea10c18ec1193f30e1ed0e808c012f93545d6e0f26442d57714e38e9	3	test	3	3	3	1
CMP00333	N92da77852215bf945aca496ad682ceea142c4b92234f7a7fa7ca271dcabc300a	3	train	3	3	3	0
CMP00334	N970380a2c491f32a16e5abb38edb8a6b8f8ce1e02e2a64096fcf76708de8b8ea	3	val	3	3	3	1
CMP00335	N97f2199018f061cf2c6cde75a400afa7c092c89b42e8099072ed03501c276c82	3	test	3	1	1	0
CMP00336	N9848ea5503097e2598b3adbf1c7e42f104df1226d4dedee3f19b0e50db27fb3a	3	train	3	3	3	2
CMP00337	N999e38329f44e63c07fefe2bf258aadaaab18861c6fae3304748b42b5c9dfb54	3	val	3	3	3	2
CMP00338	Na7438f33e4af00f5cd637fb976e3a5872df3928565f4a01c86a703b495e28352	3	test	3	3	3	1
CMP00339	Na76071e5553eda948b35ce62eaadd1cff24ca02d31bd16e2f256f1383a29ad8a	3	train	3	3	3	1
CMP00340	Nae6689c6103a702155ebc11a6a27b4544c3503137cffe8a7c9a5f9e73d4c5ba7	3	val	3	3	1	1
CMP00341	Nb3b98fd62b6cce7029362548d8c4b241f695839372894c403656d13c0a1b0f29	3	test	3	0	0	0
CMP00342	Nb7a7c5679709865fc367e931109743a3e00dc2256e53582fc829f0e3507d8a35	3	train	3	0	0	0
CMP00343	Nc24871a808c88c302395fcfa7b97511958a981a24ceef44c43c1042f014ca3f3	3	val	3	3	3	0
CMP00344	Nc2f06eb5bd0aab576ab3ee2bf9bdcc38d78ab73ffd17e8faf8db6c53f4c9e168	3	test	3	0	0	0
CMP00345	Nc84f0a63b609bbcba6507e0664aff233b44e8667088cfc43b444e0fb7e80e91f	3	train	3	3	3	0
CMP00346	Nd47b8f1bd3f79cce6fcea0875e9c5f6f95e5b6afcddb6732e3f2517add7a1558	3	val	3	3	3	1
CMP00347	Nda30fe7796b49d48813c26731acdda7419ba06b87f86e558bed46797e1c38cc9	3	test	3	3	3	0
CMP00348	Ne3d1ac8e09cd2a201d796854e1af465c403949cd5c9e85eedf47ef130e687501	3	train	3	3	0	0
CMP00349	Nea7d37b12a1d632b4ca1964fc4dbec3246f7532bd5c962a32130cba8422c3478	3	val	3	0	0	0
CMP00350	Nee60551d7339f5f4357507c79a17798eb9cf574dff3d94012abd69946b5e07d8	3	test	3	0	0	0
CMP00351	Need7e3c254986304db1bc4a8c91421bab4c2cc8ff643c36cbaccf9d978c0123a	3	train	3	0	0	0
CMP00352	Nef58ca7eb4c3fcfd67ddcbdef4bc93c8fce113e693f31155a3b05566c63b2f79	3	val	3	3	2	1
CMP00353	Nf317ce0bbc4c9a624245f2ce01281ccd055299d46ca5534cbb0e69253829d6a3	3	test	3	3	3	0
CMP00354	Nf320bf94c92acb4ab7478d5de32ca45f377ddba140f1606f65486417edcc4c4b	3	train	3	3	3	0
CMP00355	Nf660fe9939fe21c859ff61cc8f8c2b55a61437dad8d559e8aef07d3594de8edb	3	val	3	3	3	2
CMP00356	Nf77a7e2e3903fa58fd205925560827eca93d9d5208f5530365c06b7346900f79	3	test	3	3	3	1
CMP00357	Nff735affd436b4d1466e5a3cad0fd33e64d18a7acd3c5033dad85401c2346c7f	3	train	3	3	0	0
CMP00358	N012547e73f6f0761b14138c76f6808fae3e7354271502697c03bf614858e4ada	2	val	2	2	0	0
CMP00359	N043505a22c1bc181d922116fbb4bc8f2f8393736fe324dd415fbe2d3b67febb5	2	test	0	0	0	0
CMP00360	N04457bdccf43ccf14433db342d169da49be9ab358f4c698a723b46218ffc0d9c	2	train	2	2	2	1
CMP00361	N0518f3996242714ac9e408a2aea80ac62668c695bea9c7f382716b94a7206b9c	2	val	2	2	2	0
CMP00362	N05fe23dff97900f18e3d390aeaa505d404dc7ba16d77e383a7050c54166ac0e2	2	test	2	0	0	0
CMP00363	N080c8e6796ba28883182015454a33c2b09331d44d66b93e197127ebe45197054	2	train	2	1	0	0
CMP00364	N0a681863c20da592f931c3c122e125af8981768bc6a6c33a9897162dc564ee00	2	val	2	2	2	0
CMP00365	N0ca57210492846abc283561bc82446158a51d0237e3bd8bc43ff0fa7de97d80a	2	test	2	2	0	0
CMP00366	N0f43bb0a7fca167de8b8ae9efeb6d0a8c577b3a58a34529302edad7e0295e387	2	train	2	2	2	2
CMP00367	N0f54f84b575d6800dd94bab28f015fe278719a35fba59798b38dc3dcd126d695	2	val	2	2	1	1
CMP00368	N10360ae1399169173096b04ad47fb74b017dd1b17661124455b46fffc8cf141d	2	test	2	2	2	2
CMP00369	N1146ecdbb47fcfa127fba32b0f59469bbc98306a6e61cc9c1a9b9d0a4114b2f0	2	train	2	2	2	0
CMP00370	N18508197e7851eaa769c81ad5aacdce2aa251cb64b445c3db00ab67e659327d3	2	val	0	0	0	0
CMP00371	N18a2f401ffa7a1de9b6c6c737cc443baab274e5f2debfdecd2369af252534672	2	test	2	2	1	0
CMP00372	N1a915c5c1ba25086f7cdf879fe6f08bb00346edca9f4fd4d147d80d5e8b4bf9f	2	train	2	2	0	0
CMP00373	N1aa1c7a23e559a367f58411fa8a7a667f74ecb0c6897e1fd0f35956e5b0a93fa	2	val	2	2	2	0
CMP00374	N1cf5bd61c3d7c9aa8ecfbe11f67c1346f0a3e805b4faaf0310c5fe2930585602	2	test	2	2	2	0
CMP00375	N1d512f38cb6729902aded71c44b439151fe04fa5d631dfb5e60dbfc8a87d8e41	2	train	2	2	2	0
CMP00376	N1f1741b2f809c6d22be34cb6bd626cd676256b2dfaae14d3ceae7197d2b67dfc	2	val	2	2	0	0
CMP00377	N1f5b7282299765ee280b9958cbcf16184b6e3f9343336e20c70b698e77d54f00	2	test	2	2	1	0
CMP00378	N223f0fed05111205a8d87cf18cbc9bad7091596a4b348d9f603f0138a3ccee6e	2	train	2	2	2	0
CMP00379	N2449b87df179977743c71de2142c5fe03089dd0900f3ec8d48f3588f3d3cf8de	2	val	2	1	0	0
CMP00380	N258d51b3eb75232458ec468957fc62c4da3cae8cc73430982355dc60e55622e4	2	test	2	2	2	1
CMP00381	N25d66919998bad28aa5eec4769ab1223c40f95fac59d12e154d46eb04f7e6867	2	train	2	2	2	1
CMP00382	N298a6bbe9df5a5e1d9221ef0556eb650f9a859dd82312c8924dd7a1a5590f11f	2	val	2	0	0	0
CMP00383	N2af1e17f7637c7c750d162734c6f5e0119546a718b8009d823eaa3ad282f5703	2	test	2	2	2	0
CMP00384	N2c8a3e45330cdf9527e8acd3a26c2e85c93bb45bd29fe702c78246e3c7105ec9	2	train	2	2	2	0
CMP00385	N31c0537167d285c9e0bde3f4b373f5cd963ade4787760bdb4f4cbe2657aee27b	2	val	2	0	0	0
CMP00386	N34cbe4f9d205386220cfd25b0caaab0bafb4204c8fec71661f072f18c2c74a0d	2	test	2	2	2	0
CMP00387	N372943817b4cbdf9655a027455d233c4f80f8c09577b3747cc5a8c16d6c95163	2	train	2	2	2	0
CMP00388	N37297e6f481963d709397cbc1dabc68e2946658d243fa4a4d84b338cfc59400a	2	val	2	2	2	0
CMP00389	N3767cce0e1adb89ee8deefbfb29fd472087f7c2205857204c6d4eef8e5bb1568	2	test	2	2	1	0
CMP00390	N395bd2517e30c50fda6bcbf6738075ffbbcf733ecd47daa816ea139ac64ae03c	2	train	2	0	0	0
CMP00391	N3b5b8a08f9dd8d8126ddd1c302884c8a332ea8f51066925e2a9e6c16f1b8fd5a	2	val	2	2	2	0
CMP00392	N3bb083505a8eaa0e34b46d699d966e0c8c73ba177691928d8c6cac804df99a16	2	test	2	2	0	0
CMP00393	N3d09ad2ce98ebd9f0caee851fb31a079cf3bd28a3edf0eef7142041c022f22b8	2	train	2	0	0	0
CMP00394	N3ebcf8ad9a1a9f473aa0ce7ea7477f5934c59f37060813f03ae85e9212e6e7d5	2	val	2	2	1	0
CMP00395	N4390d50137d008571e90c29acb3318fa1afa272b04785bc14c24d6af5e9f5d05	2	test	2	0	0	0
CMP00396	N43b022520853077f98c09da18e51c7e183844db2db9f0e8fd490b3d9e235400e	2	train	2	2	2	1
CMP00397	N44121a8d75f64af7e914cde1e81844f3b15f8075492a3742f0f8d654f6370121	2	val	2	2	0	0
CMP00398	N4658958207e20fac4859624626c223b2e3617e2644cf372fb8644ba782a0ef06	2	test	2	2	2	0
CMP00399	N4a709b994b319a322cb8affd23dbe8a852e7a6b8c8a99c36b2978b0bc786a546	2	train	2	2	2	0
CMP00400	N4b6ed7dff6c1dc3dab0982a4a10015d08de0af7a969d26165bf21ed7d118f15a	2	val	2	2	0	0
CMP00401	N4dcbf9b61dc9d6b9ca5d69c0653fbd91e690d2bf683492adb093481a1f3d182c	2	test	2	2	1	0
CMP00402	N4e65613a34b16b7835e2d4c60364b82935392db0b5d80cf2f7d22d0b1187cf2e	2	train	2	2	0	0
CMP00403	N4ec7691b80128fe280a390532916cf4b4f3ba3ae2002724767c649b2219f6c9a	2	val	2	0	0	0
CMP00404	N53f3a2e61feeec7ab814a0497df4fed584265e32f4d2b6d3e6ca0b7c51168247	2	test	2	2	2	0
CMP00405	N549e9071c601e409057b07577a84b438a6dd55873bb25ef70600ab653792f786	2	train	2	1	1	0
CMP00406	N56967a8ff0906e64585e532d3c065d63e6e4d864b29a4dcf1b4280e9084861f7	2	val	2	2	0	0
CMP00407	N569d326ff5c70fc6f2494a25c571b00b612791a6da77cdd7cc5ca555101a8aa5	2	test	2	2	2	0
CMP00408	N5bee87d5257731527b0afff24b1a55af8c3e04e2884e84f1a73353ac7c431c5b	2	train	2	0	0	0
CMP00409	N5d64a2298d1c1851caae004743b061e3d7d3dce015223ce9aa0bd54df87832c9	2	val	2	0	0	0
CMP00410	N5db3926a6b968c416427b6f002405f24ce9a589597fbf4d01b25eb06bd65f7eb	2	test	2	0	0	0
CMP00411	N5e7a4ab9180a6148c4b15a6b0a2d0dbc30d66cf0be489a58aa797926e689821c	2	train	2	2	2	0
CMP00412	N5f2f489d2b7dfb9b02e0f980a4e40dacde7352adeb0068c6061df497a242dbe1	2	val	2	2	0	0
CMP00413	N5f4f38ec0ce58c7f5124eefd1d1a09abc80e92f67cbf60f1d2ac0c422b55548f	2	test	2	2	2	2
CMP00414	N62c0cb84f89c6471afee233a6ac0179dcfa655662ca5f2251f786c40ac52c91c	2	train	0	0	0	0
CMP00415	N6636505dcbaa33824cbb7230dd29d573b164862f64d261c2a60f24fd22394115	2	val	2	0	0	0
CMP00416	N68e9f9a04309cec6534efecf86fd19822a1b1001f97b54cde44cc69d3cf9606f	2	test	2	2	2	0
CMP00417	N69123160a140e53338bc381b643aeed6c71347a7bb818a0c98dbb65b0d11c44c	2	train	2	0	0	0
CMP00418	N697204f7f402434852c1cf9642eab90ce47395a19e92751101cb32c52ee14791	2	val	2	2	2	1
CMP00419	N6975a4830efffa8671ac37b8f32a9ddcea8683f9d4ec6d5264cec8a6dfcef92a	2	test	2	2	0	0
CMP00420	N6ae435622d15ce2a670d041e66447b46103f25478abe05b5e2562dc415839a65	2	train	2	2	2	0
CMP00421	N6be19f5bee0a0ad48dba3bd816c573c0ff7aa00c12067bdec72dbe68d3c0ddc4	2	val	2	2	2	0
CMP00422	N6eb9264e9fd354d913705689e9ce20b202122569d5c94a2ee222066119db7939	2	test	2	2	0	0
CMP00423	N6efa38f3fa882d05c0b11d39469144395ddc59a874719d53435f4af13cd52e22	2	train	2	2	2	0
CMP00424	N6febadbca8a8f973e49aa7dc1e3eb6c468f6777b39f01dc7bb9ba3b0e74607d5	2	val	2	2	2	0
CMP00425	N7796cb4877d58026430ad750830f32ac903874ea893d11dfb3e8e21f5fe8805b	2	test	2	0	0	0
CMP00426	N77c517de4b2c188c4a5c62135b61aea3feedb309cbdf20f493097891295cd52b	2	train	2	2	2	0
CMP00427	N78301f920d7f53a6bcea87696a0ed7fb78ff699e56d5ea5da0d0053443b8f75d	2	val	0	0	0	0
CMP00428	N796b3d4dced3c0ef16e7b660d75da9c6caa718396aa5621f8178a689758e6bd5	2	test	2	2	2	0
CMP00429	N7bf55d7e360d0d34d3935a7796e2ecf125087310f7dea39b19642dd7ce5e3e9e	2	train	2	2	1	0
CMP00430	N80ec12a20666e37e3c5a46bc08561d9e992556942f8f33ecbd4d2cd3f6c33b0d	2	val	2	2	2	0
CMP00431	N8255cccf179dfeca3cb2fae57185cb63baf4cfbf8fe9d66ac78c31561706c829	2	test	2	1	1	0
CMP00432	N82d3ff643657ed31454f87e29c30260737e9b915c195da3f721fdf7c1526f8a0	2	train	2	0	0	0
CMP00433	N848ff29221139cae2bd198457a3dbc5269d1f6fd3eecbe0b066484a4c535dd43	2	val	2	2	1	0
CMP00434	N86a7d76fa6db40e6dd5014cac48d9b5da70c0710651cff1c6ba265baae69b112	2	test	2	2	0	0
CMP00435	N8b77b77bd31f765b4283a4f5fb6159a166b0587200fa34fc9aa80fd3adb648d3	2	train	2	2	2	0
CMP00436	N8c1568c12a456c88d48ebcdb5aea882bf435dc13498d6691409a7a8a09a72a5b	2	val	2	2	2	0
CMP00437	N8c701856e8e662f73f5b20b3078c011a6b38e49715fd6be8d2309b05c9c05959	2	test	2	2	2	0
CMP00438	N9146dd4645546b0f0f8c4f1b995c8a57a3f72c795ba7e05c72949c69d980922a	2	train	2	2	2	0
CMP00439	N93143ec04f746ae9a0acd7a78623ac69a48f4c81c956ab30e2aead17fc6ceb8e	2	val	2	2	0	0
CMP00440	N96e36ad7a9174dddce573d5fdf6bcc185f3d9d80e4a15cd36e1008787be38556	2	test	2	2	2	0
CMP00441	N97fdfc4a25fac98284c9a6bc2ff7606bc2b2d33789c57a3ac8e14b90d931239b	2	train	2	2	1	1
CMP00442	N9bf58ab174a3493cec09060c8108f488ff3b453350659445447f32a64aea588b	2	val	2	0	0	0
CMP00443	N9d6b439fe16cc8ebe7f7fef608ec1845c9832fa2d2a6f4a09cdf296cee875a5a	2	test	2	2	0	0
CMP00444	Na59615849ea3f0daa6c8176bbd0747e1917b268ad62e92823d6fe225cf83bcd0	2	train	2	2	2	0
CMP00445	Na6d2aeef955fe656baa1f02e3c2c150f724f0aafc03a99a2d84bddf796295576	2	val	2	2	2	0
CMP00446	Na6f18a2e3b35ac08466b31cb2799dd0e9f44d3c794ce08bf2ee78e3c8fcbe092	2	test	2	2	2	0
CMP00447	Na7a45c509a1c30b00943ccaed3798ae9f8cb8aeac3b60a333b9661fb695c9965	2	train	2	2	0	0
CMP00448	Naa6d71907330a84289bb180fd958a1547dff33f5c44ff62af95c5cbfaef12b82	2	val	2	2	0	0
