sequence_id	sequence_hash	length_aa	id_prefix	membership_class	evidence_tier	declared_source	original_identifier	selection_reason	activity_evidence_if_any	expression_tags_detected	coordinate_offset_risk	unit	denominator
CAND_UG15_123	d324be2a8d2826c5c15e571e4bb69f0c9266c5e566a251639056221b7e9755ac	507	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG15_31	129495afb690d8382ba3d784188a6ed70a1c64abd45dbac8fddf7fca393477bf	559	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG15_42	2f310bce533291e0aa370ad23d6a84a3e137285236d2ae57a049221a706d43d1	550	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG15_65	8381b373e6ce44631254ec53e36808b38940e9033a36d86368c2692b396edca7	533	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG15_74	d902515cffdb82ec95b353192b0b8097a913580e7b4a891194783d8727117efb	528	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG16_41	280fa39aa37591e088f5f19511c2dcd82ab26f01e423b1f84757bb46f019601d	548	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG16_60	27fba4357c67934b532bf5f9d90f5683a276cd41c3491488bc51a114276c2137	534	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG16_91	7dcf2892b3255673ecef0dcd22e86a41aba33fecfbfa6b49cffe03022832aaa5	515	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG17_254	899321cdbf12414ee1b90aa4b31d9c9ea38598294692de5965bc292b1e7afa95	484	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG17_289	dc2bcddf71015b4ccf84fa8eb99c5a31d8d51753993632fc22ae0d434d5e33b5	475	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG17_32	bd86a21684d0a50cca547dac5ffa0168b1bccdbba69ffae9e162ea66a7992ff6	733	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG18_36	f2942a22622115f8eb1bf675474e11d8fff2683e592135374a63ee313f249e71	663	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG18_58	d3df4394ab0fde5b0a7abf5f549224992ee49ac2690c6d23215a6a3fb71e6684	570	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG19_156	5b3db9b1475bba9eabe4a852e4d38f60f95ea4a7a4a01dbd07716abce80931b3	566	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG19_20	0b4dc7a0735a4e3d9f22eb89026e69bb3f9857899cb8e049ecccd7a33d122423	727	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG19_229	19eed900eec247036464cc22af9a882867c40b240968a742c131ceda467376d6	533	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG1_12	713c67a584bb6cebc203571ea5dfb34f14940c71ffc50514669bbc971bb7bed9	583	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG1_3	a032af7ea3e184efbed7950b528f2a238e300edcd69fc3047ad1cd7e094b6aa2	747	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG1_8	e2ae613d862e30c7a7666e4d43c5b648004b98d6e5cc5067d356a750ef551d21	660	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG20_0	85631ee6693af89a5ed3af1128b30efa2ad2d730550094f69d8e3e73dc1559a8	545	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG20_1	1886c3b6c9670ea98ccb0f35fbb8dbd3c0650c1917a023fe25cbf8b61c9a842d	527	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG20_2	a254ad828518c5edee2b61d3ab87e5e7363a005464793a10cb45313d73137b4c	517	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG21_13	00dd6a761600ce3dd3a220a956f2552b59bb64a68f6b9c2b8cd3c926d1f975eb	619	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG21_25	003d5a11916e9db09539d0d221b361733ce5bf8610c50fd6f1c73eb1cc237444	587	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG22_1	8dbaead006591b7afa077df49eb71861c57d4054652f63c02ae702760067c146	850	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG22_14	301a1ddef5b89637a22c877d15b781eadd7d48ed1bc324afc17626124bbc3584	768	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG22_46	134973716b1b790db1dbc96a7d68e200415cda92a01907eda9434490fe9a1e55	638	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG23_4	cbeeaecc6c3747e3943a16b349ead354a5650035f3f8e50db5f3cabdff54990f	663	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG24_10	ab07a6ad7e371aa75b1cee775d73caf234e370592ca75db4ae7e3b262e1e5f00	532	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG25_185	73305c990803d56a493b92b180a42f9efc602058bce65c376a0e2161318a9632	341	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG25_34	27da5a147023c29ba81f48aada3669f39f5d71a456fb4732ae469ba8c10b2d5a	543	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG26_78	c07174cac1eb270f171602bcd55d73d562d858032992f01fd9d8efe537df500a	468	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG26_86	dc40653501c17768105cee4a36afb5a1d08fc84e96c692e5d16367ad9158fbed	460	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG28_6	81f161493bb65c3990ea8f204d2430f371767357a30cf35c87029e6c7cdece8f	542	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG28b_1	f88ce8ebacde1684a2e149c14b4e728ba28a0ddc4219d0b47ddcb7d5ce087e2a	844	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG2_112	7248c28b67a9b4a8b7d5a119de6d0b69661990e42e623434a82346718308fe79	429	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG2_75	fd90fffdded63c3244b383369790a55f9be8c4aee7efa33375ff68d16710c604	449	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG2_80	f4c3a224d83e0465e93315eecd4d88e885b705e1beb51cc13b8437382559d4f1	444	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG2_83	eee3d6da99727ffb6c191cf8677527c7eb0172184df8c6b83e879ce805e2828b	443	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG3_32	fe14b634e7794c3fa3067e39fc2bdbcb666dd4c735b5b2b9476d5ba8431999a2	677	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG3_72	1da4ba18ac9d6b2e7e742ed64beb21e08bb9466a53c0b24031c6155fc379a120	621	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG4_11	a82220360bb014df4731387633cc0a331e1da7e8c517df39ba55137e5d3ac57c	608	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG5_1	6249fcf66469595988da7ec72d7dc52ed647fac782c612d13cbc727e69914508	896	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG5_84	983e45a7a6a25da9bfdf6815cc1a2f31fbf4c6190c273471ee83eebe57145606	477	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG5_93	56cb804917f3d7ced715b6d0ebe36ac26c1fb904a83ec6725593ca6ca6511161	466	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG6_32	aed103648f37e5a82792f57b2f98728314c762f3b5fac1461484bbfce487bc47	548	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG6_41	83edd457568b07f2f967cfb9291905b939d08cd9dcf4a8f9a5731ddc5ea44470	513	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG6_87	1689e99f863d3654f231174e99bf48c4e2dc1136c3380c4bf4549048cd7bf211	400	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG7_0	c3d9621ab75f48337e8968639562cf1982820a3c18eea59b2835de4b25a64882	636	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG7_2	574c4765fc86c3c957e0a5b9c2a683db4e1fa46ad2d5f881f58e3041775a7217	529	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_118	f6d49d5823bd574dae8a78921bf4492cefe296a89c84d9097f8bf3ab4b097f57	672	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_126	7bc17054f8e34d781b1fd6d905c15483099f18e2baf91e692ca80439a6df795c	669	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_473	98cf3fb55a0fc505499c0cfbc5a1ab76812ebd2adc8e61c97ddf005636536bbb	462	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_49	2bd3682ed4814a12b1c8dce3bb7906599e4e44ca98049453599207d43bee263f	700	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_80	ab730823d40628773d739de56fda1b9f9ae22b98022a59361ba974201bf6ff86	685	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG8_99	45c82ac7558202ea5d0cd678e22628c3ef5b0240609f387c299996c185c624f7	678	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG9_43	28c82842947fc5221308b75ec213cf3ac4cc15743efeb26b15b912ae3b471e21	476	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
CAND_UG9_7	4f954f9561a2568967da27248c2b340a30db282dd791eaff7511c6d0b651a66c	550	CAND	CANDIDATE	UNDOCUMENTED_IN_ANCHOR_PROVENANCE	SEE_CAND_PROVENANCE				none	no	seed member	167 sequences in all167.faa
